ID;Name;Parent
A01AA01;Sodium fluoride;A01AA
A01AB02;Hydrogenperoxide;A01AB
A01AB03;Chlorhexidine;A01AB
A01AB04;Amphotericin;A01AB
A01AB09;Miconazole;A01AB
A01AB13;Tetracycline;A01AB
A01AB17;Metronidazole;A01AB
A01AB22;Doxycycline;A01AB
A01AC01;Triamcinolone;A01AC
A01AD01;Epinephrine;A01AD
A01AD02;Benzydamine;A01AD
A01AD11;Various;A01AD
A02AA04;Magnesium hydroxide;A02AA
A02AB01;Aluminium oxide;A02AB
A02AB04;Dihydroxialumini sodium carbonate;A02AB
A02AB05;Aluminiumacetoacetate;A02AB
A02AC02;Calcium silicate;A02AC
A02AD01;Ordinary salt combinations;A02AD
A02AF**;Uncompleted atc-code;A02AF
A02AH**;Uncompleted atc-code;A02AH
A02BA01;Cimetidine;A02BA
A02BA02;Ranitidine;A02BA
A02BA03;Famotidine;A02BA
A02BA04;Nizatidine;A02BA
A02BA07;Ranitidine bismuth citrate;A02BA
A02BB01;Misoprostol;A02BB
A02BC01;Omeprazole;A02BC
A02BC02;Pantoprazole;A02BC
A02BC03;Lansoprazole;A02BC
A02BC04;Rabeprazole;A02BC
A02BC05;Esomeprazole;A02BC
A02BX02;Sucralfate;A02BX
A02BX05;Bismuth subcitrate;A02BX
A02BX13;Alginic acid;A02BX
A03AA04;Mebeverine;A03AA
A03AB02;Glycopyrronium;A03AB
A03AB05;Propantheline;A03AB
A03AD01;Papaverine;A03AD
A03AE04;Prucalopride;A03AE
A03AX13;Silicones;A03AX
A03BA01;Atropine;A03BA
A03BA03;Hyoscyamine;A03BA
A03BB01;Butylscopolamine;A03BB
A03FA01;Metoclopramide;A03FA
A03FA02;Cisapride;A03FA
A03FA03;Domperidone;A03FA
A04AA01;Ondansetron;A04AA
A04AA02;Granisetron;A04AA
A04AA03;Tropisetron;A04AA
A04AA05;Palonosetron;A04AA
A04AD01;Scopolamine;A04AD
A04AD05;Metopimazine;A04AD
A04AD12;Aprepitant;A04AD
A04AD54;Chlorobutanol, combinations;A04AD
A06AB02;Bisacodyl;A06AB
A06AB06;Senna glycosides;A06AB
A06AB08;Sodium picosulfate;A06AB
A06AB20;Contact laxatives in combination;A06AB
A06AB58;Sodium picosulfate, combinations;A06AB
A06AC01;Ispaghula (psylla seeds);A06AC
A06AD**;Uncompleted atc-code;A06AD
A06AD02;Magnesium oxide;A06AD
A06AD11;Lactulose;A06AD
A06AD12;Lactitol;A06AD
A06AD65;Macrogol, combinations;A06AD
A06AG01;Sodium phosphate;A06AG
A06AG02;Bisacodyl;A06AG
A06AG06;Oil;A06AG
A06AG10;Docusate sodium, incl combinations;A06AG
A06AG11;Laurilsulfate, incl combinations;A06AG
A06AH01;Methylnaltrexone bromide;A06AH
A06AX01;Glycerol;A06AX
A07AA02;Nystatin;A07AA
A07AA09;Vancomycin;A07AA
A07AA11;Rifaximin;A07AA
A07AC01;Miconazole;A07AC
A07BA01;Medicinal charcoal;A07BA
A07BB**;Uncompleted atc-code;A07BB
A07CA**;Uncompleted atc-code;A07CA
A07DA01;Diphenoxylate;A07DA
A07DA02;Opium;A07DA
A07DA03;Loperamide;A07DA
A07DA53;Loperamide, combinations;A07DA
A07EA01;Prednisolone;A07EA
A07EA02;Hydrocortisone;A07EA
A07EA06;Budesonide;A07EA
A07EB01;Cromoglicic acid;A07EB
A07EC01;Sulfasalazine;A07EC
A07EC02;Mesalazine;A07EC
A07EC03;Olsalazine;A07EC
A07EC04;Balsalazide;A07EC
A07FA01;Lactic acid producing organisms;A07FA
A07FA02;Saccharomyces boulardii;A07FA
A08AA02;Fenfluramine;A08AA
A08AA03;Amfepramone;A08AA
A08AA04;Dexfenfluramine;A08AA
A08AA10;Sibutramine;A08AA
A08AA56;Ephedrine, combinations;A08AA
A08AB01;Orlistat;A08AB
A08AX01;Rimonabant;A08AX
A09AA02;Multienzymes (lipase, protease etc);A09AA
A10AB01;Insulin (human);A10AB
A10AB04;Insulin lispro;A10AB
A10AB05;Insulin aspart;A10AB
A10AB06;Insulin glulisine;A10AB
A10AC01;Insulin (human);A10AC
A10AD01;Insulin (human);A10AD
A10AD04;Insulin lispro;A10AD
A10AD05;Insulin aspart;A10AD
A10AE01;Insulin (human);A10AE
A10AE04;Insulin glargine;A10AE
A10AE05;Insulin detemir;A10AE
A10BA02;Metformin;A10BA
A10BB01;Glibenclamide;A10BB
A10BB03;Tolbutamide;A10BB
A10BB07;Glipizide;A10BB
A10BB09;Gliclazide;A10BB
A10BB12;Glimepiride;A10BB
A10BD03;Metformin and rosiglitazone;A10BD
A10BD04;Glimepiride and rosiglitazone;A10BD
A10BD07;Metformin and sitagliptin;A10BD
A10BD08;Metformin and vildagliptin;A10BD
A10BF01;Acarbose;A10BF
A10BG02;Rosiglitazone;A10BG
A10BG03;Pioglitazone;A10BG
A10BH01;Sitagliptin;A10BH
A10BH02;Vildagliptin;A10BH
A10BH03;Saxagliptin;A10BH
A10BH05;Linagliptin;A10BH
A10BX02;Repaglinide;A10BX
A10BX03;Nateglinide;A10BX
A10BX04;Exenatide;A10BX
A10BX07;Liraglutide;A10BX
A11AA03;Multivit and other minerals, incl combinations;A11AA
A11BA**;Uncompleted atc-code;A11BA
A11CA01;Retinol (vit a);A11CA
A11CB**;Uncompleted atc-code;A11CB
A11CC01;Ergocalciferol;A11CC
A11CC02;Dihydrotachysterol;A11CC
A11CC03;Alfacalcidol;A11CC
A11CC04;Calcitriol;A11CC
A11DA01;Thiamine (vit b1);A11DA
A11E***;Uncompleted atc-code;A11E*
A11EA**;Uncompleted atc-code;A11EA
A11GA01;Ascorbic acid (vit c);A11GA
A11HA02;Pyridoxine (vit b6);A11HA
A11HA03;Tocopherol (vit e);A11HA
A11HA08;Tocofersolan;A11HA
A12AA**;Uncompleted atc-code;A12AA
A12AA01;Calcium phosphate;A12AA
A12AA02;Calcium glubionate;A12AA
A12AA04;Calcium carbonate;A12AA
A12AA06;Calcium lactate gluconate;A12AA
A12AA07;Calcium chloride;A12AA
A12AA12;Calcium acetate;A12AA
A12AX**;Uncompleted atc-code;A12AX
A12BA01;Potassium chloride;A12BA
A12BA02;Potassium citrate;A12BA
A12CA01;Sodium chloride;A12CA
A12CB01;Zinc sulphate;A12CB
A14AB01;Nandrolone;A14AB
A16AA04;Mercaptamine;A16AA
A16AA05;Carglumic acid;A16AA
A16AA06;Betaine;A16AA
A16AB02;Imiglucerase;A16AB
A16AB03;Agalsidase alfa;A16AB
A16AB04;Agalsidase beta;A16AB
A16AB05;Laronidase;A16AB
A16AB07;Alglucosidase alfa;A16AB
A16AB09;Idursulfase;A16AB
A16AB10;Velaglucerase alfa;A16AB
A16AX03;Sodium phenylbutyrate;A16AX
A16AX04;Nitisinone;A16AX
A16AX05;Zinc acetate;A16AX
A16AX06;Miglustat;A16AX
A16AX07;Sapropterin;A16AX
B01A***;Uncompleted atc-code;B01A*
B01AA03;Warfarin;B01AA
B01AA04;Phenprocoumon;B01AA
B01AB01;Heparin;B01AB
B01AB02;Antithrombin;B01AB
B01AB04;Dalteparin;B01AB
B01AB05;Enoxaparin;B01AB
B01AB06;Nadroparin;B01AB
B01AB08;Reviparin;B01AB
B01AB10;Tinzaparin;B01AB
B01AC04;Clopidogrel;B01AC
B01AC06;Acetylsalicylic acid;B01AC
B01AC07;Dipyridamole;B01AC
B01AC09;Epoprostenol;B01AC
B01AC11;Iloprost;B01AC
B01AC13;Abciximab;B01AC
B01AC16;Eptifibatide;B01AC
B01AC17;Tirofiban;B01AC
B01AC21;Treprostinil;B01AC
B01AC22;Prasugrel;B01AC
B01AC24;Ticagrelor;B01AC
B01AC30;Combinations;B01AC
B01AD01;Streptokinase;B01AD
B01AD02;Alteplase;B01AD
B01AD04;Urokinase;B01AD
B01AD07;Reteplase;B01AD
B01AD10;Drotrecogin alfa (activated);B01AD
B01AD11;Tenecteplase;B01AD
B01AD12;Protein c;B01AD
B01AE02;Lepirudin;B01AE
B01AE03;Argatroban;B01AE
B01AE04;Melagatran;B01AE
B01AE05;Ximelagatran;B01AE
B01AE06;Bivalirudin;B01AE
B01AE07;Dabigatran etexilate;B01AE
B01AX05;Fondaparinux;B01AX
B01AX06;Rivaroxaban;B01AX
B02AA02;Tranexamic acid;B02AA
B02AB01;Aprotinin;B02AB
B02AB02;Alfa1 antitrypsin;B02AB
B02BA01;Phytomenadione;B02BA
B02BB01;Human fibrinogen;B02BB
B02BC**;Uncompleted atc-code;B02BC
B02BC01;Absorbable gelatin sponge;B02BC
B02BC02;Oxidized cellulose;B02BC
B02BC05;Adrenalone;B02BC
B02BC30;Combinations;B02BC
B02BD01;Coagulation factor ix, ii, vii and x in comb;B02BD
B02BD02;Coagulation factor viii;B02BD
B02BD03;Factor viii inhibitor bypassing activity;B02BD
B02BD04;Coagulation factor ix;B02BD
B02BD06;Von willebrand + factor viii in comb.;B02BD
B02BD08;Eptacog alfa (activated);B02BD
B02BX04;Romiplostim;B02BX
B02BX05;Eltrombopag;B02BX
B03AA01;Ferrous glycine sulphate;B03AA
B03AA03;Ferrous gluconate;B03AA
B03AA06;Ferrous succinate;B03AA
B03AA07;Ferrous sulphate;B03AA
B03AA08;Ferrous tartrate;B03AA
B03AB05;Ferric oxide polymaltose complexes;B03AB
B03AC01;Ferric oxide polymaltose complexes;B03AC
B03AC02;Saccharated iron oxide;B03AC
B03AC03;Iron-sorbitol-citric acid complex;B03AC
B03AC06;Ferric oxide dextran complexes;B03AC
B03AE02;Iron, multivitamins and folic acid;B03AE
B03BA01;Cyanocobalamin;B03BA
B03BA02;Cyanocobalamin tannin complex;B03BA
B03BA03;Hydroxocobalamin;B03BA
B03BB01;Folic acid;B03BB
B03XA01;Erythropoietin;B03XA
B03XA02;Darbepoetin alfa;B03XA
B03XA03;Methoxy polyethylene glycol-epoetin beta;B03XA
B05AA01;Albumin;B05AA
B05AA05;Dextran;B05AA
B05AA06;Gelatin agents;B05AA
B05AA07;Hydroxyethylstarch;B05AA
B05BA**;Uncompleted atc-code;B05BA
B05BA01;Amino acids;B05BA
B05BA02;Fat emulsions;B05BA
B05BA03;Carbohydrates;B05BA
B05BA10;Combinations;B05BA
B05BB**;Uncompleted atc-code;B05BB
B05BB01;Electrolytes;B05BB
B05BB02;Electrolytes with carbohydrates;B05BB
B05BC01;Mannitol;B05BC
B05CA02;Chlorhexidine;B05CA
B05CB01;Sodium chloride;B05CB
B05CB03;Magnesium citrate;B05CB
B05CB10;Combinations;B05CB
B05CX03;Glycine;B05CX
B05CX10;Combinations;B05CX
B05D***;Uncompleted atc-code;B05D*
B05DA**;Uncompleted atc-code;B05DA
B05DB**;Uncompleted atc-code;B05DB
B05XA**;Uncompleted atc-code;B05XA
B05XA01;Potassium chloride;B05XA
B05XA02;Sodium bicarbonate;B05XA
B05XA03;Sodium chloride;B05XA
B05XA04;Ammonium chloride;B05XA
B05XA05;Magnesium sulphate;B05XA
B05XA06;K-phosphate, incl comb with other k-salts;B05XA
B05XA14;Sodium glycerolophosphate;B05XA
B05XA16;Cardioplegia solutions;B05XA
B05XA31;Electrolytes in comb with other drugs;B05XA
B05XB02;Alanyl glutamine;B05XB
B05XC**;Uncompleted atc-code;B05XC
B05ZA**;Uncompleted atc-code;B05ZA
B05ZB**;Uncompleted atc-code;B05ZB
B06AA55;Streptokinase, combinations;B06AA
B06AB01;Hematin;B06AB
B06AC01;C1-inhibitor, plasma derived;B06AC
B06AC02;Icatibant;B06AC
B06AC04;Conestat alfa;B06AC
C01AA05;Digoxin;C01AA
C01BA01;Quinidine;C01BA
C01BA03;Disopyramide;C01BA
C01BB01;Lidocaine;C01BB
C01BB02;Mexiletine;C01BB
C01BC03;Propafenone;C01BC
C01BC04;Flecainide;C01BC
C01BD01;Amiodarone;C01BD
C01BD07;Dronedarone;C01BD
C01BG11;Vernakalant;C01BG
C01CA01;Etilefrine;C01CA
C01CA02;Isoprenaline;C01CA
C01CA03;Norepinephrine;C01CA
C01CA04;Dopamine;C01CA
C01CA06;Phenylephrine;C01CA
C01CA07;Dobutamine;C01CA
C01CA13;Prenalterol;C01CA
C01CA14;Dopexamine;C01CA
C01CA24;Epinephrine;C01CA
C01CA26;Ephedrine;C01CA
C01DA02;Glyceryl trinitrate;C01DA
C01DA08;Isosorbide dinitrate;C01DA
C01DA14;Isosorbide mononitrate;C01DA
C01DX16;Nicorandil;C01DX
C01EA01;Alprostadil;C01EA
C01EB10;Adenosine;C01EB
C01EB15;Trimetazidine;C01EB
C01EB16;Ibuprofen;C01EB
C01EB17;Ivabradine;C01EB
C02AB01;Methyldopa (levorotatory);C02AB
C02AC01;Clonidine;C02AC
C02AC05;Moxonidine;C02AC
C02CA01;Prazosin;C02CA
