id;name;parent_id
D06AA;Tetracycline and derivatives;D06A
D06AX;Other antibiotics for topical use;D06A
D06BA;Sulfonamides;D06B
D06BB;Antivirals;D06B
D06BX;Other chemotherapeutics;D06B
D07AA;"Corticosteroids, weak (group i)";D07A
D07AB;"Corticosteroids, moderately potent (group ii)";D07A
D07AC;"Corticosteroids, potent (group iii)";D07A
D07AD;"Corticosteroids, very potent (group iv)";D07A
D07BB;"Corticosteroids, moderat. potent, comb w/antisept.";D07B
D07BC;"Corticosteroids, potent, comb with antiseptics";D07B
D07CA;"Corticosteroids, weak, comb with antibiotics";D07C
D07CB;"Corticosteroids, moderat. potent, comb w/antibiot.";D07C
D07CC;"Corticosteroids, potent, comb with antibiotics";D07C
D07XA;"Corticosteroids, weak, other combinations";D07X
D07XB;"Corticosteroids, moderately potent, other comb.";D07X
D07XC;"Corticosteroids, potent, other combinations";D07X
D08AB;Aluminium agents;D08A
D08AC;Biguanides and amidines;D08A
D08AD;Boric acid products;D08A
D08AF;Furan derivatives;D08A
D08AG;Iodine products;D08A
D08AL;Silver compounds;D08A
D08AX;Other antiseptics and disinfectants;D08A
D09AA;Ointment dressings with antiinfectives;D09A
D09AB;Zinc bandages;D09A
D10AA;"Corticosteroids,combinations for treatment of acne";D10A
D10AD;Retinoids for topical use in acne;D10A
D10AE;Peroxides;D10A
D10AF;Antiinfectives for treatment of acne;D10A
D10AX;Other anti-acne preparations for topical use;D10A
D10BA;Retinoids for treatment of acne;D10B
D11AA;Antihidrotics;D11A
D11AC;Medicated shampoos;D11A
D11AF;Wart and anti-corn preparations;D11A
D11AH;"Agents for dermatitis, excluding corticosteroids";D11A
D11AX;Other dermatologicals;D11A
G01AA;Antibiotics;G01A
G01AF;Imidazole derivatives;G01A
G01AG;Triazole derivatives;G01A
G01AX;Other antiinfectives and antiseptics;G01A
G02AB;Ergot alkaloids;G02A
G02AD;Prostaglandins;G02A
G02BA;Intrauterine contraceptives;G02B
G02BB;Intravaginal contraceptives;G02B
G02CA;"Sympathomimetics, labour repressants";G02C
G02CB;Prolactine inhibitors;G02C
G02CX;Other gynecologicals;G02C
G03AA;"Progestogens and estrogens, fixed combinations";G03A
G03AB;"Progestogens and estrogens,sequential preparations";G03A
G03AC;Progestogens;G03A
G03AD;Emergency contraceptives;G03A
G03BA;3-oxoandrosten (4) derivatives;G03B
G03BB;5-androstanon (3) derivatives;G03B
G03CA;"Natural and semisynthetic estrogens, plain";G03C
G03CB;"Synthetic estrogens, plain";G03C
G03CX;Other estrogens;G03C
G03DA;Pregnen (4) derivatives;G03D
G03DB;Pregnadien derivatives;G03D
G03DC;Estren derivatives;G03D
G03FA;"Progestogens and estrogens, combinations";G03F
G03FB;"Progestogens and estrogens,sequential preparations";G03F
G03GA;Gonadotropins;G03G
G03GB;"Ovulation stimulants, synthetic";G03G
G03HA;"Antiandrogens, plain preparations";G03H
G03HB;Antiandrogens and estrogens;G03H
G03XA;Antigonadotrophins and similar agents;G03X
G03XB;Antiprogestogens;G03X
G03XC;Selective estrogen receptor modulators;G03X
G04BD;Urinary antispasmodics;G04B
G04BE;Drugs used in erectile dysfunction;G04B
G04CA;Alpha-adrenoreceptor antagonists;G04C
G04CB;Testosterone-5-alpha reductase inhibitors;G04C
H01AA;Acth;H01A
H01AB;Thyrotrophin;H01A
H01AC;Somatropin and somatropin agonists;H01A
