association_id;atc_id_id;drug_id_id
26381;V09IA09;DB09266
22850;B01AC16;DB00063
22851;L04AB02;DB00065
22852;G03GA06;DB00066
22853;G03GA10;DB00066
22854;G03GA05;DB00066
22784;B01AE02;DB00001
22785;L01XC06;DB00002
22786;L01XX29;DB00004
22787;L04AB01;DB00005
22788;B01AE06;DB00006
22789;L02AE51;DB00007
22790;L02AE02;DB00007
22791;L03AB11;DB00008
22792;L03AB61;DB00008
22793;B01AD02;DB00009
22794;S01XA13;DB00009
22795;V04CD03;DB00010
22796;H01AC04;DB00010
22797;L03AB06;DB00011
22798;B03XA02;DB00012
22799;B01AD04;DB00013
22800;L02AE03;DB00014
22801;B01AD07;DB00015
22802;B03XA01;DB00016
22803;H05BA01;DB00017
22804;L03AA13;DB00019
22805;L03AA09;DB00020
22806;L03AB10;DB00022
22807;L03AB60;DB00022
22808;L01XX02;DB00023
22809;H01AB01;DB00024
22810;B02BD02;DB00025
22811;L04AC03;DB00026
22812;R02AB30;DB00027
22813;B01AD03;DB00029
22814;A10AC01;DB00030
22815;A10AE01;DB00030
22816;A10AB01;DB00030
22817;A10AD01;DB00030
22818;A10AF01;DB00030
22819;B01AD11;DB00031
22820;G03GA02;DB00032
22821;G03GA03;DB00032
22822;L03AB04;DB00034
22823;H01BA02;DB00035
22824;B02BD08;DB00036
22825;L03AC02;DB00038
22826;V03AF08;DB00039
22827;H04AA01;DB00040
22828;L03AC01;DB00041
22829;M03AX01;DB00042
22830;R03DX05;DB00043
22831;G03GA07;DB00044
22832;A10AC04;DB00046
22833;A10AB04;DB00046
22834;A10AD04;DB00046
22835;A10AE54;DB00047
22836;A10AE04;DB00047
22837;D03BA02;DB00048
22838;M09AB02;DB00048
22839;D03BA52;DB00048
22840;H01CC02;DB00050
22841;L04AB04;DB00051
22842;H01AC01;DB00052
22843;B01AC13;DB00054
22844;B01AD10;DB00055
22845;L01XC05;DB00056
22846;B02AB02;DB00058
22847;L01XX24;DB00059
22848;L03AB07;DB00060
22849;L03AX04;DB00061
22855;L03AB08;DB00068
22856;L03AB09;DB00069
22857;A10AC03;DB00071
22858;A10AB03;DB00071
22859;A10AE03;DB00071
22860;A10AD03;DB00071
22861;L01XC03;DB00072
22862;L01XC02;DB00073
22863;L04AC02;DB00074
22864;L04AA02;DB00075
22865;V10XX02;DB00078
22866;J01XX09;DB00080
22867;V10XA53;DB00081
22868;H01AX01;DB00082
22869;M03AX01;DB00083
22870;B01AD01;DB00086
22871;B06AA55;DB00086
22872;L04AA34;DB00087
22873;V09IB04;DB00089
22874;L04AD01;DB00091
22875;S01XA18;DB00091
22876;L04AA15;DB00092
22877;G03GA04;DB00094
22878;L04AA21;DB00095
22879;G03GA08;DB00097
22880;L04AA04;DB00098
22881;L03AA02;DB00099
22882;D03AX06;DB00102
22883;A01AD08;DB00102
22884;A16AB04;DB00103
22885;H01CB02;DB00104
22886;L03AB05;DB00105
22887;L02BX01;DB00106
22888;G02AC01;DB00107
22889;H01BB02;DB00107
22890;L04AA23;DB00108
22891;J05AX07;DB00109
22892;J06BB16;DB00110
22893;L04AC01;DB00111
22894;L01XC07;DB00112
22895;V09IA06;DB00113
22896;A11HA06;DB00114
22897;B03BA01;DB00115
22898;B03AE01;DB00115
22899;B03BA51;DB00115
22900;A16AA02;DB00118
22901;A11HA05;DB00121
22902;V03AF11;DB00123
22903;B05XB03;DB00123
22904;V03AF11;DB00125
22905;B05XB01;DB00125
22906;G01AD03;DB00126
22907;A11GA01;DB00126
22908;A11GB01;DB00126
22909;S01XA15;DB00126
22910;A05BA06;DB00129
22911;A16AA03;DB00130
22912;V03AB26;DB00134
