drugcategory;category_detail
"0";"['Acids, Carbocyclic', 'Antacids And Adsorbents', 'Anti-Infective Agents', 'Antidiarrheals', 'Benzene Derivatives', 'Benzoates', 'Bismuth Containing Drugs', 'Coagulants', 'Drugs That Are Mainly Renally Excreted', 'Hematologic Agents', 'Hemostatics', 'Hydroxy Acids', 'Hydroxybenzoates', 'Neurotoxic Agents', 'Phenols']"
1;"['Amino Acids, Peptides, And Proteins', 'Antibodies', 'Antibodies, Monoclonal', 'Antibodies, Monoclonal, Humanized', 'Antineoplastic Agents', 'Blood Proteins', 'Cancer Immunotherapy', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Substrates', 'Globulins', 'Immunoglobulins', 'Immunoproteins', 'Immunotherapy', 'Noxae', 'Proteins', 'Serum Globulins', 'Toxic Actions']"
2;"['Amino Acids, Peptides, And Proteins', 'Biological Factors', 'Detoxifying Agents For Antineoplastic Treatment', 'Fibroblast Growth Factors', 'Increased Epithelial Proliferation', 'Intercellular Signaling Peptides And Proteins', 'Mucocutaneous Epithelial Cell Growth Factor', 'Peptides', 'Proteins']"
3;"['Acetates', 'Acids, Acyclic', 'Agents Causing Hyperkalemia', 'Blood And Blood Forming Organs', 'Blood Substitutes And Perfusion Solutions', 'Drugs That Are Mainly Renally Excreted', 'Electrolyte Solutions', 'Fatty Acids', 'Fatty Acids, Volatile', 'I.V. Solution Additives', 'Lipids', 'Potassium Compounds', 'Potassium Salt', 'Replacement Preparations']"
4;"['Amides', 'Amines', 'Aniline Compounds', 'Anti-Infective Agents', 'Antibacterials For Systemic Use', 'Antiinfectives For Systemic Use', 'Cytochrome P-450 Cyp2C9 Inhibitors', 'Cytochrome P-450 Cyp2C9 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Enzyme Inhibitors', 'Intermediate-Acting Antibacterial Sulfonamides', 'Sulfanilamides', 'Sulfonamides', 'Sulfonamides And Trimethoprim', 'Sulfones', 'Sulfur Compounds']"
5;"['Ace Inhibitors And Diuretics', 'Agents Acting On The Renin-Angiotensin System', 'Agents Causing Angioedema', 'Agents Causing Hyperkalemia', 'Angiotensin-Converting Enzyme Inhibitors', 'Antihypertensive Agents', 'Antihypertensive Agents Indicated For Hypertension', 'Cardiovascular Agents', 'Drugs Causing Inadvertant Photosensitivity', 'Enzyme Inhibitors', 'Heterocyclic Compounds, Fused-Ring', 'Hypotensive Agents', 'Isoquinolines', 'Photosensitizing Agents', 'Potential Qtc-Prolonging Agents', 'Protease Inhibitors', 'Qtc Prolonging Agents']"
6;"['Agents Reducing Cytokine Levels', 'Amino Acids, Peptides, And Proteins', 'Antineoplastic And Immunomodulating Agents', 'Antirheumatic Agents', 'Biological Factors', 'Biologics For Rheumatoid Arthritis Treatment', 'Cytokines', 'Disease-Modifying Antirheumatic Agents', 'Immunosuppressive Agents', 'Immunotherapy', 'Intercellular Signaling Peptides And Proteins', 'Interleukin Inhibitors', 'Interleukin-1 Receptor Antagonist', 'Peptides', 'Proteins']"
7;"['Agents Producing Tachycardia', 'Alimentary Tract And Metabolism', 'Analgesics', 'Analgesics, Non-Narcotic', 'Antiemetics And Antinauseants', 'Bcrp/Abcg2 Inhibitors', 'Cannabinoid Receptor Agonists', 'Cannabinoids And Similars', 'Central Nervous System Agents', 'Central Nervous System Depressants', 'Cytochrome P-450 Cyp2C9 Substrates', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Substrates', 'Hallucinogens', 'Hormones', 'Hormones, Hormone Substitutes, And Hormone Antagonists', 'Miscellaneous Antiemetics', 'Neurotransmitter Agents', 'P-Glycoprotein Inhibitors', 'Peripheral Nervous System Agents', 'Psychotropic Drugs', 'Sensory System Agents', 'Terpenes']"
41;"['Amines', 'Aniline Compounds', 'Anti-Infective Agents', 'Anti-Infective Agents, Local', 'Antifungals For Dermatological Use', 'Antifungals For Topical Use', 'Dermatologicals', 'Genito Urinary System And Sex Hormones', 'Gynecological Antiinfectives And Antiseptics', 'Miscellaneous Antifungals']"
42;"['Amino Acids, Peptides, And Proteins', 'Carbohydrates', 'Glycoconjugates', 'Nerve Tissue Proteins', 'Peptides', 'Proteins']"
43;"['Amides', 'Cardiovascular Agents', 'Diuretics', 'Genito Urinary System And Sex Hormones', 'Gynecological Antiinfectives And Antiseptics', 'High-Ceiling Diuretics', 'Membrane Transport Modulators', 'Natriuretic Agents', 'Sodium Potassium Chloride Symporter Inhibitors', 'Sulfonamides', 'Sulfones', 'Sulfur Compounds']"
44;"['Carbohydrates', 'Glycogen Phosphorylase, Antagonists & Inhibitors', 'Hexoses', 'Monosaccharides']"
45;"['Alkylating Activity', 'Alkylating Drugs', 'Antineoplastic Agents', 'Antineoplastic Agents, Alkylating', 'Antineoplastic And Immunomodulating Agents', 'Cardiotoxic Antineoplastic Agents', 'Cholinesterase Inhibitors', 'Compounds Used In A Research, Industrial, Or Household Setting', 'Hydrocarbons, Halogenated', 'Immunosuppressive Agents', 'Irritants', 'Mustard Compounds', 'Myelosuppressive Agents', 'Narrow Therapeutic Index Drugs', 'Nitrogen Mustard Analogues', 'Nitrogen Mustard Compounds', 'Noxae', 'Poisons', 'Toxic Actions']"
46;"['Amides', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Cyp3A5 Substrates', 'Cytochrome P-450 Substrates', 'Drugs Used In Erectile Dysfunction', 'Enzyme Inhibitors', 'Genito Urinary System And Sex Hormones', 'Phosphodiesterase 5 Inhibitors', 'Phosphodiesterase Inhibitors', 'Sulfones', 'Sulfur Compounds', 'Urologicals', 'Vasodilating Agents']"
47;"['Antidotes', 'Central Nervous System Agents', 'Central Nervous System Stimulants', 'Compounds Used In A Research, Industrial, Or Household Setting', 'Convulsants', 'Cyclohexanes', 'Cycloparaffins', 'Gaba Agents', 'Gaba Antagonists', 'Lactones', 'Neurotransmitter Agents', 'Protective Agents', 'Stimulants']"
48;"['Arachidonic Acids', 'Autacoids', 'Biological Factors', 'Eicosanoids', 'Fatty Acids', 'Fatty Acids, Essential', 'Fatty Acids, Unsaturated', 'Inflammation Mediators', 'Leukotriene B4, Antagonists & Inhibitors', 'Leukotrienes', 'Lipids']"
60;"['Acetanilides', 'Adrenergic Agents', 'Adrenergic Antagonists', 'Adrenergic Beta-1 Receptor Antagonists', 'Adrenergic Beta-Antagonists', 'Agents Causing Hyperkalemia', 'Alcohols', 'Amides', 'Amines', 'Amino Alcohols', 'Anilides', 'Aniline Compounds', 'Antiarrhythmic Agents', 'Antihypertensive Agents', 'Beta Blocking Agents, Selective', 'Bradycardia-Causing Agents', 'Cardiovascular Agents', 'Cytochrome P-450 Cyp2D6 Substrates', 'Cytochrome P-450 Substrates', 'Neurotransmitter Agents', 'Phenoxypropanolamines', 'Propanolamines', 'Propanols']"
179;"['Alcohols', 'Carbohydrates', 'Dietary Supplements', 'Glycerophosphates', 'Glycerophospholipids', 'Lipids', 'Membrane Lipids', 'Phosphatidic Acids', 'Phosphatidylserines', 'Phospholipids', 'Sugar Alcohols', 'Sugar Phosphates', 'Supplements', 'Triose Sugar Alcohols']"
204;"['Amines', 'Antiglaucoma Preparations And Miotics', 'Biogenic Amines', 'Cardiovascular Agents', 'Cholinergic Agents', 'Cholinergic Agonists', 'Cholinergic Receptor Agonist', 'Miotics', 'Neurotransmitter Agents', 'Oct1 Substrates', 'Ophthalmologicals', 'Parasympathomimetics', 'Sensory Organs', 'Vasodilating Agents']"
3520;"['Diagnostic Radiopharmaceuticals', 'Radioacti..."
8;"['Anti-Anxiety Agents', 'Anticonvulsants', 'Benzazepines', 'Benzodiazepine Hypnotics And Sedatives', 'Benzodiazepines And Benzodiazepine Derivatives', 'Central Nervous System Agents', 'Central Nervous System Depressants', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Substrates', 'Drugs Causing Inadvertant Photosensitivity', 'Drugs That Are Mainly Renally Excreted', 'Gaba Agents', 'Gaba Modulators', 'Heterocyclic Compounds, Fused-Ring', 'Hypnotics And Sedatives', 'Nervous System', 'Neurotransmitter Agents', 'Photosensitizing Agents', 'Psycholeptics', 'Psychotropic Drugs', 'Tranquilizing Agents', 'Triazolobenzodiazepines']"
9;"['Antineoplastic Agents', 'Antineoplastic Agents, Immunological', 'Biological Products', 'Complex Mixtures', 'Vaccines']"
