drugchembl;chembl_detail
"0";CHEMBL1201666
1;CHEMBL1201577
2;CHEMBL1201550
3;CHEMBL1201572
4;CHEMBL2103749
5;CHEMBL1201199
6;CHEMBL1201560
7;CHEMBL1201593
8;None
9;CHEMBL2108509
10;CHEMBL1201566
11;CHEMBL1201420
12;CHEMBL1201247
13;CHEMBL2107885
14;CHEMBL1201565
15;CHEMBL2109047
16;CHEMBL1201568
17;CHEMBL1201670
18;CHEMBL1201561
19;CHEMBL2108989
20;CHEMBL1201533
21;CHEMBL2108175
22;CHEMBL1201570
23;CHEMBL557217
24;CHEMBL2108250
25;CHEMBL2108791
26;CHEMBL2108427
27;CHEMBL1201564
28;CHEMBL1429
29;CHEMBL1201573
30;CHEMBL1201821
31;CHEMBL266481
32;CHEMBL1201438
33;CHEMBL1201569
34;CHEMBL1201589
35;CHEMBL1201419
36;CHEMBL1201538
37;CHEMBL1201497
38;CHEMBL1200490
39;CHEMBL1201580
40;CHEMBL1201621
41;CHEMBL1201584
42;CHEMBL1201506
43;CHEMBL2108546
44;CHEMBL1201562
45;CHEMBL1201514
46;CHEMBL1174
47;CHEMBL1201581
48;CHEMBL1201692
49;CHEMBL373742
50;CHEMBL1201563
51;CHEMBL1201557
52;CHEMBL1201636
53;CHEMBL1201585
54;CHEMBL1201576
55;CHEMBL1201439
56;CHEMBL1201608
57;CHEMBL387675
58;CHEMBL1201604
59;CHEMBL1201515
60;CHEMBL2108147
61;CHEMBL1201587
62;CHEMBL2108285
63;CHEMBL160
64;CHEMBL1201571
65;CHEMBL3185126
66;CHEMBL1201520
67;CHEMBL1201575
68;CHEMBL1201464
69;CHEMBL1201567
70;CHEMBL1201556
71;CHEMBL2108888
72;CHEMBL1680
73;CHEMBL1252
74;CHEMBL395429
75;CHEMBL1201607
76;CHEMBL525076
77;CHEMBL1201586
78;CHEMBL1201605
79;CHEMBL1201583
80;CHEMBL2108253
81;CHEMBL82202
82;CHEMBL2110563
83;CHEMBL2021342
84;CHEMBL17962
85;CHEMBL1088977
86;CHEMBL1162144
87;CHEMBL301523
88;CHEMBL857
89;CHEMBL920
90;CHEMBL8085
91;CHEMBL1485
92;CHEMBL196
93;CHEMBL23194
94;CHEMBL274323
95;CHEMBL446143
96;CHEMBL930
97;CHEMBL752
98;CHEMBL8739
99;CHEMBL11298
100;CHEMBL42336
101;CHEMBL925
102;CHEMBL846
103;CHEMBL173929
104;CHEMBL590540
105;CHEMBL576
106;CHEMBL1534
107;CHEMBL4303483
108;CHEMBL575060
109;CHEMBL1543
110;CHEMBL4297669
111;CHEMBL773
112;CHEMBL1040
113;CHEMBL102970
114;CHEMBL283800
115;CHEMBL291962
116;CHEMBL54976
117;CHEMBL863
118;CHEMBL1547
119;CHEMBL1536
120;CHEMBL465183
121;CHEMBL444814
122;CHEMBL291747
123;CHEMBL1234616
124;CHEMBL1622
125;CHEMBL460026
126;CHEMBL279597
127;CHEMBL43068
128;CHEMBL986
129;CHEMBL47
130;CHEMBL1364
131;CHEMBL134342
132;CHEMBL1233584
133;CHEMBL171679
134;CHEMBL1042
135;CHEMBL590
136;CHEMBL14249
137;CHEMBL54922
138;CHEMBL226345
139;CHEMBL58832
140;CHEMBL1144
141;CHEMBL814
142;CHEMBL1069
143;CHEMBL1168
144;CHEMBL313972
145;CHEMBL1512
146;CHEMBL701
147;CHEMBL405
148;CHEMBL1328
149;CHEMBL3
150;CHEMBL580
151;CHEMBL768
152;CHEMBL325041
153;CHEMBL1201236
154;CHEMBL1574
155;CHEMBL1201242
156;CHEMBL1237044
157;CHEMBL1090
158;CHEMBL423
159;CHEMBL106
160;CHEMBL408
161;CHEMBL1229
162;CHEMBL532
163;CHEMBL2103737
164;CHEMBL113
165;CHEMBL703
166;CHEMBL192
167;CHEMBL473
168;CHEMBL36
169;CHEMBL772
170;CHEMBL529
171;CHEMBL833
172;CHEMBL1888176
173;CHEMBL1265
174;CHEMBL1201212
175;CHEMBL31601
176;CHEMBL1502
177;CHEMBL1148
178;CHEMBL549
179;CHEMBL1510
180;CHEMBL1201260
181;CHEMBL32
182;CHEMBL1201286
183;CHEMBL584
184;CHEMBL1201213
185;CHEMBL1481
186;CHEMBL1201380
187;CHEMBL115
188;CHEMBL1037
189;CHEMBL503
190;CHEMBL1257
191;CHEMBL1296
192;CHEMBL1059
193;CHEMBL967
194;CHEMBL1577
195;CHEMBL1169
196;CHEMBL383921
197;CHEMBL189
198;CHEMBL449
199;CHEMBL57
200;CHEMBL1262
201;CHEMBL1201361
202;CHEMBL454
203;CHEMBL1619
204;CHEMBL1404
205;CHEMBL704
206;CHEMBL1201203
207;CHEMBL708
208;CHEMBL485253
209;CHEMBL1201087
210;CHEMBL1043
211;CHEMBL16
212;CHEMBL1201173
213;CHEMBL1433
214;CHEMBL411
215;CHEMBL104
216;CHEMBL771
217;CHEMBL760
218;CHEMBL513
219;CHEMBL453
220;CHEMBL13
221;CHEMBL1466
222;CHEMBL589
223;CHEMBL1200761
224;CHEMBL1648
225;CHEMBL1201323
226;CHEMBL220492
227;CHEMBL1201195
228;CHEMBL1516
229;CHEMBL43
230;CHEMBL190
231;CHEMBL1166
232;CHEMBL1544
233;CHEMBL517
234;CHEMBL79
235;CHEMBL834
236;CHEMBL1626
237;CHEMBL1566
