drugname;name_detail
"0";Brentuximab Vedotin
1;Lithium Cation
2;Benazepril
3;Disopyramide
4;"(5R,7R,8S,9S,10R)-7-(Hydroxymethyl)-3-Phenyl-1,6-Dioxa-2-Azaspiro[4.5]Dec-2-Ene-8,9,10-Triol"
5;Tetrodotoxin
6;"(3E)-5-Fluoro-1-[(6-Fluoro-4H-1,3-Benzodioxin-8-Yl)Methyl]-1H-Indole-2,3-Dione 3-Oxime"
7;P-Hydroxymercuribenzoic Acid
8;"4-(2-(1H-Imidazol-4-Yl)Ethylamino)-2-(Phenylamino)Pyrazolo[1,5-A][1,3,5]Triazine-8-Carbonitrile"
9;Lisuride
10;Revefenacin
11;Metacycline
12;5-Chloro-N-{(3S)-1-[(2S)-1-(4-Morpholinyl)-1-Oxo-2-Propanyl]-2-Oxo-3-Pyrrolidinyl}-1H-Indole-2-Sulfonamide
13;"Thyroid, Porcine"
14;Ezetimibe
15;Dpdpe
16;Propyl Alcohol
17;N-Hydroxy-1-(4-Methoxyphenyl)Sulfonyl-4-Benzyloxycarbonyl-Piperazine-2-Carboxamide
18;Mecasermin
19;Hydrochlorothiazide
20;4-Bromo-3-(Carboxymethoxy)-5-Phenylthiophene-2-Carboxylic Acid
21;Opium
22;"5-[4-(2-Hydroxyethyl)-1-Piperidinyl]-5-Phenyl-2,4,6(1H,3H,5H)-Pyrimidinetrione"
23;Medi0680
24;Opc-28326
25;Beta-D-Glucopyranose Spirohydantoin
26;Mercuribenzoic Acid
27;Adinazolam
28;Diethylstilbestrol
29;Dirithromycin
30;Gc-24
31;Cacodylic Acid
32;"1,1,1,3,3,3-Hexafluoro-2-{4-[(2,2,2-Trifluoroethyl)Amino]Phenyl}Propan-2-Ol"
33;Midazolam
34;Butriptyline
35;Gamma-Aminobutyric Acid
36;Ro 12-7310
37;Flurandrenolide
38;Aflibercept
39;3-Isobutyl-1-Methyl-7H-Xanthine
40;Dexniguldipine
41;"N~3~-[3-(5-Methoxypyridin-3-Yl)Benzyl]Pyridine-2,3-Diamine"
42;Fencamfamin
43;Cefotaxime
44;Ibritumomab Tiuxetan
45;Tiratricol
46;Lgd2941
47;Saracatinib
48;Indigotindisulfonic Acid
49;Crotonaldehyde
50;Methyl (3S)-3-[(Tert-Butoxycarbonyl)Amino]-4-Oxopentanoate
51;Benserazide
52;Phosphatidyl Serine
53;3-Thiaoctanoyl-Coa
54;Carprofen
55;6-Chloro-3-(3-Methylisoxazol-5-Yl)-4-Phenylquinolin-2(1H)-One
56;Aleglitazar
57;"2,4-Diamino-5-(3,4,5-Trimethoxy-Benzyl)-Pyrimidin-1-Ium"
58;Cts-1027
59;Amcinonide
60;Elafibranor
61;"4-{5-[(Z)-(2,4-Dioxo-1,3-Thiazolidin-5-Ylidene)Methyl]Furan-2-Yl}Benzenesulfonamide"
62;Tributyltin
63;Butabarbital
64;Cad106
65;"1-(2,5-Dideoxy-5-Pyrrolidin-1-Yl-Beta-L-Erythro-Pentofuranosyl)-5-Methylpyrimidine-2,4(1H,3H)-Dione"
66;Zinc
67;5-Hydroxyvaleric Acid
68;2-(6-Methylpyridin-2-Yl)-N-Pyridin-4-Ylquinazolin-4-Amine
69;"9-Benzyl-2,3,4,9-Tetrahydro-1H-Carbazole-8-Carboxylic Acid"
70;1-(3-Hydroxypropyl)-2-[(3-Nitrobenzoyl)Amino]-1H-Benzimidazol-5-Yl Pivalate
71;Lamivudine
72;Alectinib
73;Dapoxetine
74;"4-(4-Methylpiperazin-1-Yl)-N-[5-(2-Thienylacetyl)-1,5-Dihydropyrrolo[3,4-C]Pyrazol-3-Yl]Benzamide"
75;Nadroparin
76;Seproxetine
77;Estradiol Benzoate
78;Rta 744
79;Fluvastatin
80;Leflunomide
81;"N~3~-(3-Pyridin-3-Ylbenzyl)Pyridine-2,3-Diamine"
82;Mephenytoin
83;Cefotetan
84;Neratinib
85;Becaplermin
86;Pizotifen
87;N-[(Furan-2-Yl)Carbonyl]-(S)-Leucyl-(R)-[1-Amino-2(1H-Indol-3-Yl)Ethyl]-Phosphonic Acid
88;Aprepitant
89;(S)-Aspartimide
90;"(1S)-2-[(2S,5R)-2-(Aminomethyl)-5-Ethynylpyrrolidin-1-Yl]-1-Cyclopentyl-2-Oxoethanamine"
91;Oxybenzone
92;Chenodeoxycholic Acid
93;3-(6-Cyclohexylmethoxy-9H-Purin-2-Ylamino)-Benzenesulfonamide
94;Dicyclomine
95;B-2-Octylglucoside
96;Dihydroquinidine Barbiturate
97;Flavin-Adenine Dinucleotide-N5-Isobutyl Ketone
98;Cerliponase Alfa
99;Sulfisoxazole
100;Parathyroid Hormone
101;Quazepam
102;Ly-517717
103;Tedizolid Phosphate
104;"1,2,3,4-Tetrahydro-Isoquinoline-7-Sulfonic Acid Amide"
105;Noscapine
106;N-[(4-Methoxyphenyl)Sulfonyl]-D-Alanine
107;Formebolone
108;Primidone
109;Glycocholic Acid
110;N-(4-Phenoxyphenyl)-2-[(Pyridin-4-Ylmethyl)Amino]Nicotinamide
111;"5-Chloro-Thiophene-2-Carboxylic Acid ((3S,4S)-4-Fluoro- 1-{[2-Fluoro-4-(2-Oxo-2H-Pyridin-1-Yl)-Phenylcarbamoyl]-Methyl}-Pyrrolidin-3-Yl)-Amide"
112;Enflurane
113;N-{[2-({[1-(4-Carboxybutanoyl)Amino]-2-Phenylethyl}-Hydroxyphosphinyl)Oxy]Acetyl}-2-Phenylethylamine
114;Entrectinib
115;Dimethyltryptamine
116;Acp-104
117;Tivantinib
118;Rivoglitazone
6346;Technetium Tc-99m tilmanocept
335;Auranofin
336;Guaiacol
337;Nefazodone
119;3-(5-{[4-(Aminomethyl)Piperidin-1-Yl]Methyl}-1H-Indol-2-Yl)-1H-Indazole-6-Carbonitrile
120;N-(3-Phenyl-2-Sulfanylpropanoyl)Phenylalanylalanine
121;Phosphonoacetohydroxamic Acid
122;"2,6-Dibromo-4-Phenoxyphenol"
123;Benidipine
124;Furoyl-Leucine
125;"2-[4-(Dimethylamino)Phenyl]-6-Hydroxy-3-Methyl-1,3-Benzothiazol-3-Ium"
126;Loracarbef
127;6-(N-Phenylcarbamyl)-2-Naphthalenecarboxamidine
128;Tranilast
129;Oxyphencyclimine
130;Hyaluronic Acid
131;Ursodeoxycholic Acid
132;"N,N-Dimethylformamide"
133;Epinastine
134;Sc-74020
135;"4-Amino-2-[(3-Chlorophenyl)Amino]-5-(4-Fluorobenzoyl)-1,3-Thiazol-3-Ium"
136;Pyruvic Acid
137;Etelcalcetide
138;Belantamab Mafodotin
139;Floxuridine
140;Tiapride
141;Crx-139
142;Eluxadoline
143;N-(2-Aminoethyl)-2-{3-Chloro-4-[(4-Isopropylbenzyl)Oxy]Phenyl} Acetamide
144;2-Deoxy-Glucose-6-Phosphate
145;3-[5-(2-Nitropent-1-En-1-Yl)Furan-2-Yl]Benzoic Acid
146;Linaclotide
147;Tuberculin Purified Protein Derivative
148;"Sodium Phosphate, Monobasic"
149;Potassium Chloride
150;D-Malic Acid
151;Reteplase
152;Liposomal Prostaglandin E1
153;Penbutolol
154;Thrombin
155;Certolizumab Pegol
156;Bafilomycin B1
157;{4-[2-Benzyl-3-Methoxy-2-(Methoxycarbonyl)-3-Oxopropyl]Phenyl}Sulfamic Acid
158;(R)-Atenolol
159;"6-(3-Aminopropyl)-4,9-Dimethylpyrrolo[3,4-C]Carbazole-1,3(2H,6H)-Dione"
160;"(9Alpha,13Beta,17Beta)-2-[(1Z)-But-1-En-1-Yl]Estra-1,3,5(10)-Triene-3,17-Diol"
