drugpubchemblsubstance;pubchemblsubstance_detail
"0";46507011
1;46507042
2;46506950
3;46506732
4;46507415
5;46507635
6;46504860
7;46507035
8;46507399
9;46506227
10;46504480
11;46506299
12;46507336
13;46506092
14;46508122
15;46506061
16;46508902
17;46505853
18;46507000
19;46506669
20;46507633
21;46505696
22;46506209
23;46507944
24;46507412
25;46508774
26;46504487
27;46506231
28;46508657
29;46504503
30;46507194
31;46506712
32;None
33;46507544
34;46506470
35;46506691
36;46504732
37;46508054
38;46504750
39;46507002
40;46507624
41;46504444
42;46507498
43;46507981
44;46506485
45;46505494
46;46504982
47;46506010
48;46505910
49;46505655
50;46505767
51;46506364
52;46505366
53;46504899
54;46508490
55;46505459
56;46505602
57;46508818
58;46505933
59;46504458
60;46505985
61;46505087
62;46508925
63;46507516
64;46505820
65;46505169
66;46507837
67;46506112
68;46504551
69;46506662
70;46505507
71;46505347
72;46505625
73;46507379
74;46506263
75;46508198
76;46505772
77;46507522
78;46507385
79;46505252
80;46506863
81;46506920
82;46505833
83;46508858
84;46508246
85;46508538
86;46504600
87;46507075
88;46508237
89;46506775
90;46505849
91;46506067
92;46506637
93;46504469
94;46504473
95;46507781
96;46506428
97;46509031
98;46504756
99;46507001
100;46505280
101;46505692
102;46505708
103;46508694
104;46508132
105;46504770
106;46507180
107;46505070
108;46507215
109;46507997
110;46505239
111;46505866
112;46507628
113;46507620
114;46506450
115;46505750
116;46507885
117;46508162
118;46508835
119;46506670
120;46505859
121;46507342
122;46509139
123;46505816
124;46504598
125;46505650
126;46508219
127;46505690
128;46506282
129;46504868
130;46507163
131;46508329
132;46506553
133;46507321
134;46505053
135;46508866
136;46506583
137;46506798
138;46504879
139;46508092
140;46506267
141;46504866
142;46504886
143;46508191
144;46506524
145;46508560
146;46504826
147;46506864
148;46507278
149;46506365
150;46505447
151;46507614
152;46506858
153;46507319
154;46507804
155;46504851
156;46507588
157;46509000
158;46506390
159;46508042
160;46507894
161;46508181
162;46506414
163;46507747
164;46506924
165;46507202
166;46508468
167;46506146
168;46508736
169;46508775
170;46508515
171;46506714
172;46506256
173;46506630
174;46506041
175;46505735
176;46504655
177;46507602
178;46508487
179;46505751
180;46506408
181;46506023
182;46508371
183;46509127
184;46505987
185;46505863
186;46507743
187;46504438
188;46506398
189;46505019
190;46507373
191;46507286
192;46504622
193;46504760
194;46508746
195;46506380
196;46507605
197;46508509
198;46508840
199;46507719
200;46505384
201;46508842
202;46504519
203;46506442
204;46506457
205;46508223
206;46505314
207;46506679
208;46504934
209;46506604
210;46509197
211;46505572
212;46504845
213;46507838
214;46505051
215;46506789
216;46504752
217;46508296
218;46505876
219;46504588
220;46505145
221;46509142
222;46505349
223;46507627
224;46506117
225;46508571
226;46505300
227;46508847
228;46506584
229;46506491
230;46507453
231;46507927
232;46506865
233;46508863
234;46506980
235;46505342
236;46506211
237;46505536
238;46507918
239;46508811
240;46505034
241;46506808
242;46508334
243;46504461
244;46508275
245;46507539
246;46505949
247;46507650
248;46506352
249;46508226
250;46505060
251;46504823
252;46506492
253;46508248
254;46504593
255;46505680
256;46507637
257;46506705
258;46506160
259;46509116
260;46506842
261;46507012
262;46504880
263;46505321
264;46505161
265;46504712
266;46506768
267;46508859
268;46508131
269;46508276
270;46508089
271;46505739
272;46508353
273;46507821
274;46509119
275;46507904
276;46504548
277;46505541
278;46509023
279;46508399
280;46505925
281;46506452
282;46506142
283;46508649
284;46507764
285;46504757
286;46507711
287;46508798
288;46508645
289;46504932
290;46505984
291;46508965
292;46508700
293;46508291
294;46504788
295;46507752
296;46506138
297;46505722
298;46507666
299;46506915
300;46506509
301;46505748
302;46509065
303;46507478
304;46508368
305;46507007
306;46505667
307;46505128
308;46507106
309;46508512
310;46504478
311;46507380
312;46506115
313;46508344
314;46505827
315;46508170
316;46507746
317;46507608
318;46507755
319;46506066
320;46505610
321;46506164
322;46508597
323;46507772
324;46506474
325;46508862
326;46507253
327;46506354
328;46508082
329;46506201
330;46506054
331;46506965
332;46508142
333;46506502
334;46507733
335;46504572
336;46507717
337;46508530
338;46506195
339;46505491
340;46505982
341;46507214
342;46505487
343;46507487
344;46507623
345;46506642
346;46505553
347;46506961
348;46506359
349;46508524
350;46504855
351;46507375
352;46508497
353;46509195
354;46506377
355;46508968
356;46508087
357;46505329
358;46507310
359;46508437
360;46504546
361;46505809
362;46505766
363;46507078
364;46505186
365;46505353
366;46505194
367;46505047
368;46508689
369;46509115
370;46504556
371;46505897
372;46505821
373;46505346
374;46507773
375;46507164
376;46508708
377;46506350
378;46504504
379;46508525
380;46505929
381;46507761
382;46507345
383;46507949
384;46507561
385;46505403
386;46508872
387;46508118
388;46505548
389;46508542
390;46506192
391;46509018
392;46508613
393;46506897
394;46508672
395;46508516
396;46506143
397;46505877
398;46507125
399;46506425
400;46505155
401;46507536
402;46507282
403;46505318
404;46506369
405;46508975
406;46504716
407;46505291
408;46507672
409;46508892
410;46506899
411;46507853
412;46509079
413;46508594
414;46507351
415;46509178
416;46507729
417;46506260
418;46508167
419;46505919
420;46507019
421;46506796
422;46507505
423;46507493
424;46507303
425;46508472
426;46505585
427;46507902
428;46506241
429;46507954
430;46505044
431;46507937
432;46508395
433;46505725
434;46506514
435;46505596
436;46508651
437;46507305
438;46508182
439;46505171
440;46507338
441;46505012
442;46508113
443;46504492
444;46506495
445;46506911
446;46508734
447;46508240
448;46508104
449;46508908
450;46505018
451;46508874
452;46507060
453;46505360
454;46508794
455;46505050
456;46505682
457;46506672
458;46507344
459;46508471
460;46507229
461;46505261
462;46506934
463;46506530
464;46504561
465;46504810
466;46506472
467;46508300
468;46508288
469;46507513
470;46508175
471;46507356
472;46509058
473;46509083
474;46506734
475;46508865
476;46507873
477;46508021
478;46505441
479;46508677
480;46504787
481;46504793
482;46505573
483;46507543
484;46504733
485;46506087
486;46507783
487;46507033
488;46507884
489;46509117
490;46508557
491;46506129
492;46509054
493;46506793
494;46506284
495;46506874
496;46505181
497;46508546
498;46507116
499;46506275
500;46505225
501;46505408
502;46508556
503;46508581
504;46507154
505;46506829
506;46506752
507;46507678
508;46507583
509;46506666
510;46506749
511;46506769
512;46505595
513;46504550
514;46505387
515;46507540
516;46504597
517;46506096
518;46508119
519;46508656
520;46508197
521;46505653
522;46509094
523;46506229
524;46506421
525;46505864
526;46507920
527;46507554
528;46504644
529;46505799
530;46506140
531;46505557
532;46506825
533;46506244
534;46507642
535;46507617
536;46508156
537;46507025
538;46506187
539;46505511
540;46504621
541;46507466
542;46504452
543;46506810
544;46508895
545;46504980
546;46506570
547;46508269
548;46508100
549;46506925
550;46505593
551;46507553
552;46508844
553;46506940
554;46507291
555;46506468
556;46509011
557;46509173
558;46506314
559;46505055
560;46507950
561;46509027
562;46504482
563;46506645
564;46505691
565;46506827
566;46504727
567;46507508
568;46506595
569;46505200
570;46507199
571;46504968
572;46507406
573;46508166
574;46504748
575;46508569
576;46508728
577;46508654
578;46505640
579;46508807
580;46506144
581;46506697
582;46504780
583;46506690
584;46508319
585;46506943
586;46505436
587;46504443
588;46506363
589;46506279
590;46505916
591;46506648
592;46508607
593;46506657
594;46508158
595;46505121
596;46505381
597;46506496
598;46509097
599;46506520
600;46509029
601;46508684
602;46506402
603;46505211
604;46505659
605;46505515
606;46504499
607;46506538
608;46509070
609;46509072
610;46504711
611;46507611
612;46508751
613;46509187
614;46508616
615;46505626
616;46506850
617;46508451
618;46508441
619;46506535
620;46504703
621;46508433
622;46506779
623;46507632
624;46505373
625;46504447
626;46508741
627;46509053
628;46507537
629;46508585
630;46506393
631;46505333
632;46508878
633;46507763
634;46508600
635;46504737
636;46507855
637;46508134
638;46506830
639;46505550
640;46505710
641;46508653
642;46504821
643;46507587
644;46504816
645;46507520
646;46507958
647;46508646
648;46507724
649;46504893
650;46506264
651;46505394
652;46509020
653;46507121
654;46509120
655;46506855
656;46505131
657;46504836
658;46504689
659;46509152
660;46505850
661;46504777
662;46504894
663;46507782
664;46508562
665;46508094
666;46505089
667;46506805
668;46506394
669;46504648
670;46506395
671;46506966
672;46506787
673;46505184
674;46505066
675;46509056
676;46505832
677;46505880
678;46504521
679;46504843
680;46505858
681;46505209
682;46507295
683;46506693
684;46506038
685;46505871
686;46506536
687;46505288
688;46506079
689;46508845
690;46506155
691;46506025
692;46509076
693;46508029
694;46507814
695;46505287
696;46505434
697;46505220
698;46504678
699;46507580
700;46506205
701;46507676
702;46507401
703;46507348
704;46507187
705;46508115
706;46505405
707;46505547
708;46506002
709;46505508
710;46504878
711;46508767
712;46506125
713;46507775
714;46505451
715;46508342
716;46505641
717;46506523
718;46508992
719;46504963
720;46505618
721;46505371
722;46505380
723;46505940
724;46507960
725;46508626
726;46505924
727;46508325
728;46505883
729;46507038
730;46506372
731;46506624
732;46508769
733;46504464
734;46508469
735;46504991
736;46504493
737;46507646
738;46505357
739;46506008
740;46506993
741;46505790
742;46506513
743;46507547
744;46505210
745;46504524
746;46507961
747;46507693
748;46505795
749;46508137
750;46504591
751;46506568
752;46505290
753;46505642
754;46505241
755;46506031
756;46504803
757;46507383
758;46508174
759;46505159
760;46507730
761;46509052
762;46505197
763;46507058
764;46507029
765;46508190
766;46507934
767;46506558
768;46506856
769;46504714
770;46508519
771;46508724
772;46508305
773;46504847
774;46507807
775;46506777
776;46505543
777;46506004
778;46506102
779;46506033
780;46505273
781;46506376
782;46506754
783;46508210
784;46506887
785;46504533
786;46504713
787;46507816
788;46506765
789;46505675
790;46506388
791;46507606
792;46507032
793;46506309
794;46504463
795;46506412
796;46507526
797;175426852
798;46508147
799;46505784
800;46505137
801;46504661
802;46506991
803;46505399
804;46506136
805;46508076
806;46505002
807;46504820
808;46509147
809;46506969
810;46504538
811;46506255
812;46506895
813;46505472
814;46507562
815;46504819
816;46505334
817;46505560
818;46506326
819;46505356
820;46505278
821;46505780
822;46506396
823;46508150
824;46505199
825;46505230
826;46507081
827;46508911
828;46505549
829;46505165
830;46508921
831;46505782
832;46507149
833;46508313
834;46507191
835;46504486
836;46507397
837;46509032
838;46505041
839;46506631
840;46506257
841;46506724
842;46508358
843;46505622
844;46504942
845;46506622
846;46508024
847;46507887
848;46505807
849;46507171
850;46506736
851;46507879
852;46507824
853;46505803
