compound;compound_detail
"0";"9969613.0"
1;"100684.0"
2;"5280795.0"
3;"5353306.0"
4;"656902.0"
5;"4539.0"
6;"46936871.0"
7;"444053.0"
8;"10267580.0"
9;"448055.0"
10;"10517.0"
11;"11610526.0"
12;"9933193.0"
13;"91562.0"
14;"6915944.0"
15;"4369443.0"
16;"70788951.0"
17;"6451164.0"
18;"54680690.0"
19;"42615254.0"
20;"71731823.0"
21;"208898.0"
22;"448042.0"
23;"44141939.0"
24;"42608445.0"
25;"5326542.0"
26;"448477.0"
27;"16760554.0"
28;"9829523.0"
29;"71567.0"
30;"10343728.0"
31;"3950.0"
32;"9870652.0"
33;"71301.0"
34;"5288215.0"
35;"5288869.0"
36;"8944.0"
37;"637568.0"
38;"119828.0"
39;"5289085.0"
40;"4369496.0"
41;"56959.0"
42;"169682.0"
43;"46936889.0"
44;"564.0"
45;"3394.0"
46;"9574768.0"
47;"888.0"
48;"5994.0"
49;"24752837.0"
50;"447653.0"
51;"50294.0"
52;"443115.0"
53;"5289109.0"
54;"24778299.0"
55;"23727982.0"
56;"4369485.0"
57;"441140.0"
58;"91610.0"
59;"8987.0"
60;"23647358.0"
61;"6880.0"
62;"5487313.0"
63;"2776332.0"
64;"657095.0"
65;"643684.0"
66;"445062.0"
67;"2361.0"
68;"6305.0"
69;"16076883.0"
70;"5287955.0"
71;"6992039.0"
72;"6918141.0"
73;"102710.0"
74;"24877.0"
75;"448025.0"
76;"8193.0"
77;"447202.0"
78;"451597.0"
79;"5460316.0"
80;"5287555.0"
81;"5857.0"
82;"150311.0"
83;"159594.0"
84;"135548.0"
85;"448994.0"
86;"25134252.0"
87;"5606.0"
88;"977.0"
89;"447958.0"
90;"51039094.0"
91;"448235.0"
92;"5481173.0"
93;"448288.0"
94;"6917655.0"
95;"24795069.0"
96;"2726820.0"
97;"64972.0"
98;"2179.0"
99;"446795.0"
100;"36811.0"
101;"11029.0"
102;"4421.0"
103;"379.0"
104;"44224261.0"
105;"448650.0"
106;"1893.0"
107;"6852391.0"
108;"124992.0"
109;"131704245.0"
110;"636405.0"
111;"7020128.0"
112;"25138295.0"
113;"449164.0"
114;"99478.0"
115;"16130644.0"
116;"23647763.0"
117;"25213.0"
118;"50515.0"
119;"4369451.0"
120;"446276.0"
121;"97536.0"
122;"5327012.0"
123;"44.0"
124;"46937111.0"
125;"24798097.0"
126;"5284543.0"
127;"7027.0"
128;"6274.0"
129;"25163987.0"
130;"91867.0"
131;"47936.0"
132;"131536.0"
133;"6857711.0"
134;"4114.0"
135;"5745206.0"
136;"5326967.0"
137;"24244.0"
138;"517045.0"
139;"2717.0"
140;"24893974.0"
141;"40632.0"
142;"446871.0"
143;"444412.0"
144;"439202.0"
5233;None
145;"445951.0"
146;"60835.0"
147;"443869.0"
148;"3333.0"
149;"4634.0"
150;"65077.0"
151;"9875401.0"
152;"10379137.0"
153;"3383616.0"
154;"6089.0"
155;"25263223.0"
156;"5312109.0"
157;"16122567.0"
158;"6852129.0"
159;"5288593.0"
160;"449555.0"
161;"5719.0"
162;"3194.0"
163;"4829.0"
164;"11524144.0"
165;"156126.0"
166;"23976.0"
167;"440473.0"
168;"91493.0"
169;"65098.0"
170;"71360.0"
171;"5282226.0"
172;"5287596.0"
173;"2449.0"
174;"2159.0"
175;"24812720.0"
176;"969516.0"
177;"444552.0"
178;"42628075.0"
179;"64689.0"
180;"5287621.0"
181;"11314340.0"
182;"449193.0"
183;"48229.0"
184;"449394.0"
185;"2144.0"
186;"447488.0"
187;"31264.0"
188;"5977.0"
189;"439186.0"
190;"5287971.0"
191;"1331.0"
192;"5287652.0"
193;"643976.0"
194;"447877.0"
195;"24316.0"
196;"114905.0"
197;"2138.0"
198;"5287844.0"
199;"11519070.0"
200;"10836.0"
201;"16741227.0"
202;"129891.0"
203;"8420.0"
204;"5326669.0"
205;"11794741.0"
206;"2763754.0"
207;"10976469.0"
208;"14687.0"
209;"20824.0"
210;"2761.0"
211;"16758226.0"
212;"25195347.0"
213;"449118.0"
214;"5960.0"
215;"11229234.0"
216;"11979006.0"
217;"447622.0"
218;"25102845.0"
219;"60854.0"
220;"94286438.0"
221;"446056.0"
222;"16741.0"
223;"158795.0"
224;"25025298.0"
225;"446977.0"
