interaction_id;actions;known_action;interaction_type;pubmed_ids;drug_bankID_id;uniprot_ID_id
1;inhibitor;yes;target;10505536|10912644|11055889|11467439|11807012|11752352;DB00001;P00734
2;binder;yes;target;11752352|15821783;DB00002;P00533
3;binder;unknown;target;16336752;DB00002;O75015
4;binder;unknown;target;32117299;DB00002;P02745
5;binder;unknown;target;32117299;DB00002;P02746
6;binder;unknown;target;32117299;DB00002;P02747
7;binder;unknown;target;17139284|17016423|17704420;DB00002;P08637
8;binder;unknown;target;7547242;DB00002;P12314
9;binder;unknown;target;17139284|17016423|17704420;DB00002;P12318
10;binder;yes;target;2786749|3124610|18684057|17187516;DB00004;P01589
11;agonist;yes;target;15811959|16516670|18684057|17187516|11752352;DB00004;P14784
12;nan;unknown;target;15811959|16516670|11707860;DB00004;P31785
13;antibody;yes;target;10206649|10338381|10357816|10375846|10405518|11752352;DB00005;P01375
14;ligand;unknown;target;27463856|19128982;DB00005;P12314
15;ligand;unknown;target;15457442|15526004|27463856|19128982;DB00005;P12318
16;ligand;unknown;target;27463856|19128982;DB00005;P31994
17;ligand;unknown;target;10800083|7535196|19128982;DB00005;P31995
18;ligand;unknown;target;15457442|15526004|27463856|19128982;DB00005;P08637
19;ligand;unknown;target;10800083|17387033|15457442|15526004|19128982;DB00005;O75015
20;antibody;yes;target;11302411|15005015|15033655;DB00005;P01374
21;inhibitor;yes;target;11060732|11504570|11833835|11923794|11929334|11752352;DB00006;P00734
22;inhibitor;unknown;enzyme;18701766;DB00006;P05164
23;agonist;yes;target;16809153|10687850|9625809|15758569|10394541;DB00007;P30968
24;agonist;yes;target;15898717|16953837|19955815|11752352;DB00008;P48551
25;agonist;yes;target;15898717|16953837|19955815|11752352;DB00008;P17181
26;inhibitor;unknown;enzyme;11910269;DB00008;P05177
27;activator;yes;target;18673235|19436656|17963464|11752352;DB00009;P00747
28;nan;yes;target;18673235|19436656|17963464;DB00009;P02671
29;nan;unknown;target;nan;DB00009;Q03405
30;nan;unknown;target;17963464;DB00009;P05121
31;agonist;yes;target;14499707|11752352;DB00010;Q02643
32;agonist;yes;target;17139284|17016423|10822464|19955815|11752352;DB00011;P17181
33;agonist;yes;target;17139284|17016423|10822464|19955815|11752352;DB00011;P48551
34;inhibitor;unknown;enzyme;9064483;DB00011;P05177
35;agonist;yes;target;16505108|17575216|11752352;DB00012;P19235
36;activator;yes;target;12658774|12666133|12719778|12720300|12745435|11752352;DB00013;P00747
37;inducer|modulator;yes;target;12615913|12817472|14679304|14688365|14720519|17327908;DB00013;Q03405
38;substrate|inducer;yes;target;12579271|12642587|12709915|12745435|12785198;DB00013;P05121
39;substrate|inducer;yes;target;15277569|15351849|15640330|15944795|16327990;DB00013;P05120
40;substrate;unknown;target;17434507|17253188|14645112;DB00013;P05154
41;substrate;unknown;target;17139284|17016423|8241286|1280065|7959795;DB00013;P98164
42;substrate;unknown;target;14747469|12815039;DB00013;Q9Y5Y6
43;ligand;unknown;target;17139284|17016423|1499567;DB00013;P14543
44;substrate;unknown;enzyme;12195704;DB00013;P39900
45;agonist;yes;target;17139284|17016423|20053189;DB00014;P22888
46;agonist;yes;target;20053189;DB00014;P30968
47;activator;yes;target;17963464|18673235|19436656|11752352;DB00015;P00747
48;nan;yes;target;18673235|19436656|17963464;DB00015;P02671
49;nan;unknown;target;17963464;DB00015;P05121
50;agonist;yes;target;16505108|17575216|11752352;DB00016;P19235
51;agonist;unknown;target;3004987|7610922|9231703|11752352;DB00017;P30988
52;agonist;yes;target;17139284|17016423|15898717|19955815|11752352;DB00018;P17181
53;agonist;yes;target;17139284|17016423|15898717|19955815|16953837|11752352;DB00018;P48551
54;inhibitor;unknown;enzyme;9064483;DB00018;P05177
55;agonist;yes;target;17001306|12944913|17127322|16033816|15949269|15082029;DB00019;Q99062
56;substrate;no;enzyme;14657210|16245075|12958067|15353486|17475913|26105553;DB00019;P08246
57;agonist;yes;target;17090651|16760463|17522711|16638185|11752352;DB00020;P15509
58;agonist;yes;target;17562355|17500228|16698686|17522711;DB00020;P26951
59;agonist;yes;target;17139284|17016423|1424804;DB00020;P32927
60;agonist;unknown;target;17139284|17016423|10734053;DB00020;P34741
61;nan;unknown;target;17383764|16522458|17600316;DB00020;P13727
62;agonist;yes;target;17139284|17016423|15898717|19955815|16953837|11752352;DB00022;P17181
63;agonist;yes;target;17139284|17016423|15898717|19955815|16953837|11752352;DB00022;P48551
64;inhibitor;unknown;enzyme;21161196;DB00022;P05177
65;inhibitor;unknown;enzyme;nan;DB00022;P10635
66;inducer;unknown;enzyme;22765278;DB00022;P11712
67;inhibitor;no;carrier;nan;DB00023;P05543
68;agonist;yes;target;15571461|9039330|11752352;DB00024;P16473
69;activator;yes;target;13801371|14285227|236567|6436416|11891806;DB00025;P00742
70;cofactor;yes;target;1119107|2994716|14240634|932529|6422634;DB00025;P00740
71;binder;yes;target;10938981|11858481|14750934|2128855|2942172;DB00025;P04275
72;antagonist;unknown;target;11574539;DB00025;O14832
73;binder;unknown;target;15946216;DB00025;P07307
74;chaperone;unknown;target;9607108;DB00025;P11021
75;chaperone;unknown;target;9525969|17899080|9607108;DB00025;P27797
76;chaperone;unknown;target;9525969|15213841|17899080|9607108;DB00025;P27824
77;chaperone;unknown;target;14629470|14726380;DB00025;P49257
78;modulator;unknown;target;21391865;DB00025;Q07954
79;modulator;unknown;target;15886209;DB00025;Q8NI22
80;activator;unknown;enzyme;10688826|1139038|12463731|2402772|3099625;DB00025;P00734
81;substrate;unknown;enzyme;21054189;DB00025;P04070
82;antagonist;yes;target;17498496|12817089|12355453|17083033|11752352|17352828|10210771;DB00026;P14778
83;substrate|inhibitor;unknown;transporter;14985103|8621716|11707575;DB00027;P08183
84;antagonist;yes;target;17911465|20441428|17351760;DB00028;P12314
85;antagonist;yes;target;17911465|20441428|17351760;DB00028;Q92637
86;antagonist;yes;target;17911465|20441428|17351760;DB00028;P12318
87;antagonist;yes;target;17911465|20441428|17351760;DB00028;P31994
88;antagonist;yes;target;17911465|20441428|17351760;DB00028;P31995
89;antagonist;yes;target;17911465|20441428|17351760;DB00028;P08637
90;antagonist;yes;target;17911465|20441428|17351760;DB00028;O75015
91;binder;yes;target;20441428|17351760|17911465;DB00028;P01024
92;binder;yes;target;20441428|17351760|17911465;DB00028;P0C0L4
93;binder;yes;target;20441428|17351760|17911465;DB00028;P01031
94;activator;yes;target;18673235|19436656|17963464|11752352;DB00029;P00747
95;nan;yes;target;6750837|7798503;DB00029;P02671
96;nan;unknown;target;17963464;DB00029;P05121
97;agonist;yes;target;12970169|12038982|17722952|19683471|20230616|11752352|27512793;DB00030;P06213
98;activator;unknown;target;19145584|21219237|22420005|31771180|25905175;DB00030;P08069
99;modulator|product of;unknown;target;24843127;DB00030;P16870
100;downregulator;unknown;target;23705021;DB00030;P48745
101;substrate;unknown;target;9773776;DB00030;P98164
102;inhibitor|binder;unknown;target;17475416;DB00030;Q16270
103;substrate|cleavage;unknown;enzyme;19785409|25945652|30968756;DB00030;P14735
104;activator;unknown;enzyme;nan;DB00030;P16519
105;activator;unknown;enzyme;nan;DB00030;P29120
106;inducer;unknown;enzyme;1562279|12130701;DB00030;P05177
107;activator;yes;target;18673235|19436656|17963464|11752352;DB00031;P00747
108;nan;yes;target;19436656|18673235|17963464;DB00031;P02671
109;nan;unknown;target;15231724|11447759|12210068;DB00031;Q03405
110;nan;unknown;target;11163592|14564902|17963464;DB00031;P05121
111;nan;unknown;target;17141398|7958159|3091604;DB00031;P05120
112;nan;unknown;target;12694198|9034981|17853709;DB00031;P05452
113;nan;unknown;target;9988531|8760360|8810346;DB00031;P05787
114;nan;unknown;target;15194650|10578524|12730231;DB00031;P07355
115;nan;unknown;target;9359841;DB00031;P27797
116;nan;unknown;target;9359841;DB00031;P27824
117;nan;unknown;target;8344937|1378833|16303771;DB00031;Q07954
118;binder;yes;target;17139284|17016423|14680547|7872378|11752352;DB00032;P23945
119;nan;yes;target;17139284|17016423|14680547|7872378;DB00032;P22888
120;binder;yes;target;17251453|17618444|11752352;DB00033;P15260
121;binder;yes;target;17239631|17618444|11752352;DB00033;P38484
122;inhibitor;unknown;enzyme;9064483|9103535;DB00033;P05177
123;nan;yes;target;15898717|18230610;DB00034;P17181
124;nan;yes;target;15898717|18230610;DB00034;P48551
125;inhibitor;unknown;enzyme;9064483;DB00034;P05177
126;agonist;yes;target;18761325|16333859|11752352;DB00035;P30518
127;nan;yes;target;10731046|10594321|8957254|15613460;DB00035;P37288
128;nan;yes;target;15613460|14971638|18655906;DB00035;P47901
129;inducer;unknown;enzyme;15644490;DB00035;P23219
130;inducer;unknown;enzyme;15644490;DB00035;P35354
131;nan;unknown;target;5969560|13801371|13713641|14227143|13621053;DB00036;P00742
132;nan;unknown;target;11772005|7559599|8700900|12974870|11238112;DB00036;P10646
133;nan;unknown;target;17139284|17016423|10901669;DB00036;P38435
134;nan;unknown;target;10388743|11735107|12525826|15907148|16370916;DB00036;P08709
135;nan;unknown;target;13713641|1586032|6658368;DB00036;P13726
136;agonist;yes;target;11012177|11570967|8637716|8676079|9310465|11752352;DB00038;Q14626
137;agonist|binder;yes;target;17728847|16390600|16854582|7499435|9056643|10593896|17456767|11752352|8663044;DB00039;P21802
138;agonist;unknown;target;11714710|10950949|11091737|10212269|9890894|8663044;DB00039;P11362
139;ligand;unknown;target;10593896|9788974|16989989|14753849|9094999;DB00039;P98160
140;agonist;yes;target;17462598|17620721|17623014|17534934|17479245|11752352|8020989|12529935|8144028;DB00040;P47871
141;agonist;unknown;target;17139284|17016423|11212269|9990065|15817468|12529935;DB00040;O95838
142;agonist;unknown;target;17475961|17498508|17534934|12529935;DB00040;P43220
143;agonist|modulator;yes;target;16477002|16542139|16569767|16596189|16617454|11752352;DB00041;P14784
144;agonist|modulator;yes;target;17216565|16767920|17530023|17584597|16864089|11752352|10207608;DB00041;P01589
145;agonist;yes;target;16477002|17598841|17635814|17083048|17363735;DB00041;P31785
146;inducer;unknown;enzyme;10823885|18209082;DB00041;P35354
147;inducer;unknown;enzyme;8536274;DB00041;P47712
148;inhibitor;unknown;enzyme;10086330|14977871;DB00041;P08684
149;inducer;unknown;enzyme;8032542;DB00041;P47989
150;inhibitor;unknown;enzyme;10086330;DB00041;P05181
151;binder;yes;target;14573702|11752352;DB00042;P63027
152;binder;yes;target;17139284|17016423|11752352;DB00042;P23763
153;nan;yes;target;17139284|17016423|19576489;DB00042;Q8N9I0
154;inhibitor;yes;target;15356552|17368811|26288408;DB00043;P12319
155;inhibitor;yes;target;17139284|17016423|17073688|11678779;DB00043;Q01362
156;agonist;yes;target;17139284|17016423|20161981|11752352;DB00044;P22888
157;other/unknown;yes;target;14617145;DB00045;O60603
158;agonist;yes;target;11752352|8964871|8937933|20424816|27512793;DB00046;P06213
159;activator;unknown;target;22420005|31771180|25905175;DB00046;P08069
160;inducer;unknown;enzyme;1562279|12130701;DB00046;P05177
161;substrate;unknown;enzyme;12773120;DB00046;P14735
162;agonist;yes;target;11752352|17922476|20424816|18585815;DB00047;P06213
163;activator;unknown;target;22420005|20938889|17922476;DB00047;P08069
164;inducer;unknown;enzyme;1562279|12130701;DB00047;P05177
165;binder;yes;target;17440987|12855673|12535212|12101112|15659034;DB00048;P02452
166;binder;yes;target;14613270|17652426|16507130|15299286|12890681;DB00048;P02458
167;binder;yes;target;17139284|17016423|2145268;DB00048;P02461
168;antagonist;yes;target;11854630|12606421|14561652|14605254|16809153|11752352;DB00050;P30968
169;nan;unknown;target;17139284|17016423|11943741;DB00050;P22888
170;antibody;yes;target;12044041|14532145|15022409|15046527;DB00051;P01375
171;ligand;yes;target;16917171|16965663|17082603|17128263|17133434|11752352|22291494;DB00052;P10912
172;ligand;yes;target;17279774|17395896|17317019|2270485;DB00052;P16471
173;inducer;unknown;enzyme;11907490;DB00052;P05177
174;inhibitor;unknown;enzyme;11907490;DB00052;P33261
175;substrate;unknown;transporter;10518648;DB00052;P08183
176;antagonist;yes;target;11588534|12165285|17441904|11752352|18510478|12749745;DB00054;P05106
177;antagonist;yes;target;19499855|18510478|12749745;DB00054;P08514
178;nan;unknown;target;nan;DB00054;P12318
179;nan;unknown;target;nan;DB00054;P31994
180;nan;unknown;target;17160551|12749745;DB00054;P04004
181;inhibitor;yes;target;9184404|18954704|11752352|6419799;DB00055;P00451
182;inhibitor;yes;target;11236773|11714212|11893230|12004250|12030642|11752352|6419799;DB00055;P12259
183;nan;unknown;target;11259926|17566522|12004248|14515185;DB00055;P05121
184;nan;unknown;target;11804648|15252033|1660324|2836377|3039877;DB00055;P07204
185;nan;unknown;target;12062545|1828915|3160800;DB00055;P07225
186;nan;unknown;target;10463819|12062545|12070133|12208873|12296618;DB00055;P00734
187;nan;unknown;target;11259926;DB00055;P02776
188;nan;unknown;target;10456457|7769227|9620917|8391599|12671072;DB00055;P05154
189;nan;unknown;target;7548163;DB00055;P35237
190;nan;unknown;target;9529319|12871285|12353077|17566522|15118520;DB00055;Q9UNN8
191;antibody;yes;target;10942240|11249747|11342449|11410481|11432892|20564405|11752352;DB00056;P20138
192;nan;unknown;target;9815888|9649182|7509291;DB00056;O75015
