phenocode;pheno_sex;description;description_more
100001;both_sexes;Food weight;"Total food weight. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."
100002;both_sexes;Energy;"Total energy. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."
100003;both_sexes;Protein;"Protein. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."
100004;both_sexes;Fat;"Total fat. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."
100005;both_sexes;Carbohydrate;"Carbohydrate. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."
100006;both_sexes;Saturated fat;"Saturated fat. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."
100007;both_sexes;Polyunsaturated fat;"Polyunsaturated fat. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."
100008;both_sexes;Total sugars;"Total sugars. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."
100009;both_sexes;Englyst dietary fibre;"Englyst dietary fibre. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."
100010;both_sexes;Portion size;"Question asked: ""How would you describe your serving size?"" If the participant activated the Help feature they were shown the message:  Please compare the amount you eat with other people you know, then try to answer the question. "
100011;both_sexes;Iron;"Iron. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."
100012;both_sexes;Vitamin B6;"Vitamin B6. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."
100013;both_sexes;Vitamin B12;"Vitamin B12. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."
100014;both_sexes;Folate;"Folate. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."
100015;both_sexes;Vitamin C;"Vitamin C. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."
100016;both_sexes;Potassium;"Potassium. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."
100017;both_sexes;Magnesium;"Magnesium. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."
100018;both_sexes;Retinol;"Retinol. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."
100019;both_sexes;Carotene;"Carotene. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."
100021;both_sexes;Vitamin D;"Vitamin D. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."
100022;both_sexes;Alcohol;"Alcohol. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."
100023;both_sexes;Starch;"Starch. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."
100024;both_sexes;Calcium;"Calcium. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."
100025;both_sexes;Vitamin E;"Vitamin E. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."
102;both_sexes;"Pulse rate, automated reading";This is the pulse rate measured during the automated blood pressure readings.
120;both_sexes;Birth weight known;Birth weight known   This question was dropped from the touchscreen protocol on 24/10/2016.
12336;both_sexes;Ventricular rate;Ventricular rate during ECG measurement.
12338;both_sexes;P duration;P duration during ECG
12340;both_sexes;QRS duration;QRS duration during ECG measurement
1239;both_sexes;Current tobacco smoking;"ACE touchscreen question ""Do you smoke tobacco now?"""
1249;both_sexes;Past tobacco smoking;"ACE touchscreen question ""In the past, how often have you smoked tobacco?"" ~F1249~ was collected from all participants except those who indicated they currently smoke on most or all days, as defined by their answers to ~F1239~"
1259;both_sexes;Smoking/smokers in household;"ACE touchscreen question ""Does anyone in your household smoke?"" ~F1259~ was collected from all participants except those who indicated they currently smoke tobacco on most or all days, as defined by their answers to ~F1239~"
12651;both_sexes;Duration of eprime test;This is the length of time that the eprime test was administered for.
12673;both_sexes;Heart rate during PWA;Heart rate recorded during vicorder run.
12674;both_sexes;Systolic brachial blood pressure during PWA;Systolic brachial blood pressure during PWA
12675;both_sexes;Diastolic brachial blood pressure during PWA;Diastolic brachial blood pressure during PWA
12676;both_sexes;Peripheral pulse pressure during PWA;Peripheral pulse pressure during PWA
12677;both_sexes;Central systolic blood pressure during PWA;Central systolic blood pressure during PWA
12678;both_sexes;Central pulse pressure during PWA;Central pulse pressure during PWA
12679;both_sexes;Number of beats in waveform average for PWA;Number of beats in waveform average for PWA
12680;both_sexes;Central augmentation pressure during PWA;Central augmentation pressure during PWA
12681;both_sexes;Augmentation index for PWA;Augmentation index for PWA. Defined as    Central augmentation pressure  /  peripheral pulse pressure   with result expressed as percentage.
12682;both_sexes;Cardiac output during PWA;Cardiac output during PWA
12683;both_sexes;End systolic pressure during PWA;End systolic pressure during PWA
12684;both_sexes;End systolic pressure index during PWA;End systolic pressure index during PWA. Defined as   end systolic pressure  /  peripheral pulse pressure   
12685;both_sexes;Total peripheral resistance during PWA;Total peripheral resistance during PWA
12686;both_sexes;Stroke volume during PWA;Stroke volume during PWA
12687;both_sexes;Mean arterial pressure during PWA;Mean arterial pressure during PWA. Measured from the area under the aortic waveform.
12697;both_sexes;Systolic brachial blood pressure;Systolic brachial blood pressure during blood pressure test.
12698;both_sexes;Diastolic brachial blood pressure;Diastolic brachial blood pressure during blood pressure test.
1269;both_sexes;Exposure to tobacco smoke at home;"ACE touchscreen question ""At home, about how many hours per WEEK are you exposed to other people's tobacco smoke?"" The following checks were performed:  If answer   If answer > 168 then rejected  If answer > 100 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Please give the number of hours in a typical week over the last year that you have been exposed to other people's tobacco smoke in the home environment.      ~F1269~ was collected from all participants except those who indicated they currently smoke tobacco on most or all days, as defined by their answers to ~F1239~"
12702;both_sexes;Cardiac index during PWA;Cardiac index during PWA. Defined as    cardiac output  /  body surface area 
130004;both_sexes;Date A02 first reported (other salmonella infections);"Date of the first occurrence of any code mapped to 3-character ICD10 A02. The code corresponds to ""other salmonella infections"". Note that events which were apparently before birth were omitted when constructing this data field."
130006;both_sexes;Date A03 first reported (shigellosis);"Date of the first occurrence of any code mapped to 3-character ICD10 A03. The code corresponds to ""shigellosis"". Note that events which were apparently before birth were omitted when constructing this data field."
130008;both_sexes;Date A04 first reported (other bacterial intestinal infections);"Date of the first occurrence of any code mapped to 3-character ICD10 A04. The code corresponds to ""other bacterial intestinal infections"". Note that events which were apparently before birth were omitted when constructing this data field."
130010;both_sexes;Date A05 first reported (other bacterial foodborne intoxications);"Date of the first occurrence of any code mapped to 3-character ICD10 A05. The code corresponds to ""other bacterial foodborne intoxications"". Note that events which were apparently before birth were omitted when constructing this data field."
130014;both_sexes;Date A07 first reported (other protozoal intestinal diseases);"Date of the first occurrence of any code mapped to 3-character ICD10 A07. The code corresponds to ""other protozoal intestinal diseases"". Note that events which were apparently before birth were omitted when constructing this data field."
130016;both_sexes;Date A08 first reported (viral and other specified intestinal infections);"Date of the first occurrence of any code mapped to 3-character ICD10 A08. The code corresponds to ""viral and other specified intestinal infections"". Note that events which were apparently before birth were omitted when constructing this data field."
130018;both_sexes;Date A09 first reported (diarrhoea and gastro-enteritis of presumed infectious origin);"Date of the first occurrence of any code mapped to 3-character ICD10 A09. The code corresponds to ""diarrhoea and gastro-enteritis of presumed infectious origin"". Note that events which were apparently before birth were omitted when constructing this data field."
130020;both_sexes;"Date A15 first reported (respiratory tuberculosis, bacteriologically and histologically confirmed)";"Date of the first occurrence of any code mapped to 3-character ICD10 A15. The code corresponds to ""respiratory tuberculosis, bacteriologically and histologically confirmed"". Note that events which were apparently before birth were omitted when constructing this data field."
130022;both_sexes;"Date A16 first reported (respiratory tuberculosis, not confirmed bacteriologically or histologically)";"Date of the first occurrence of any code mapped to 3-character ICD10 A16. The code corresponds to ""respiratory tuberculosis, not confirmed bacteriologically or histologically"". Note that events which were apparently before birth were omitted when constructing this data field."
130062;both_sexes;Date A37 first reported (whooping cough);"Date of the first occurrence of any code mapped to 3-character ICD10 A37. The code corresponds to ""whooping cough"". Note that events which were apparently before birth were omitted when constructing this data field."
130064;both_sexes;Date A38 first reported (scarlet fever);"Date of the first occurrence of any code mapped to 3-character ICD10 A38. The code corresponds to ""scarlet fever"". Note that events which were apparently before birth were omitted when constructing this data field."
130068;both_sexes;Date A40 first reported (streptococcal septicaemia);"Date of the first occurrence of any code mapped to 3-character ICD10 A40. The code corresponds to ""streptococcal septicaemia"". Note that events which were apparently before birth were omitted when constructing this data field."
130070;both_sexes;Date A41 first reported (other septicaemia);"Date of the first occurrence of any code mapped to 3-character ICD10 A41. The code corresponds to ""other septicaemia"". Note that events which were apparently before birth were omitted when constructing this data field."
130072;both_sexes;Date A42 first reported (actinomycosis);"Date of the first occurrence of any code mapped to 3-character ICD10 A42. The code corresponds to ""actinomycosis"". Note that events which were apparently before birth were omitted when constructing this data field."
130078;both_sexes;Date A46 first reported (erysipelas);"Date of the first occurrence of any code mapped to 3-character ICD10 A46. The code corresponds to ""erysipelas"". Note that events which were apparently before birth were omitted when constructing this data field."
