model;drug_bankID;uniprot_ID;atc_codes;pubmed_ids;interaction_type;known_action;actions;ChEMBL
drug.Drug_Protein;DB00001;P00734;['B01AE02'];10505536|10912644|11055889|11467439|11807012|11752352;target;yes;inhibitor;CHEMBL1201666
drug.Drug_Protein;DB00002;P00533;['L01XC06'];11752352|15821783;target;yes;binder;CHEMBL1201577
drug.Drug_Protein;DB00002;O75015;['L01XC06'];16336752;target;unknown;binder;CHEMBL1201577
drug.Drug_Protein;DB00002;P02745;['L01XC06'];32117299;target;unknown;binder;CHEMBL1201577
drug.Drug_Protein;DB00002;P02746;['L01XC06'];32117299;target;unknown;binder;CHEMBL1201577
drug.Drug_Protein;DB00002;P02747;['L01XC06'];32117299;target;unknown;binder;CHEMBL1201577
drug.Drug_Protein;DB00002;P08637;['L01XC06'];17139284|17016423|17704420;target;unknown;binder;CHEMBL1201577
drug.Drug_Protein;DB00002;P12314;['L01XC06'];7547242;target;unknown;binder;CHEMBL1201577
drug.Drug_Protein;DB00002;P12318;['L01XC06'];17139284|17016423|17704420;target;unknown;binder;CHEMBL1201577
drug.Drug_Protein;DB00004;P01589;['L01XX29'];2786749|3124610|18684057|17187516;target;yes;binder;CHEMBL1201550
drug.Drug_Protein;DB00004;P14784;['L01XX29'];15811959|16516670|18684057|17187516|11752352;target;yes;agonist;CHEMBL1201550
drug.Drug_Protein;DB00004;P31785;['L01XX29'];15811959|16516670|11707860;target;unknown;;CHEMBL1201550
drug.Drug_Protein;DB00005;P01375;['L04AB01'];10206649|10338381|10357816|10375846|10405518|11752352;target;yes;antibody;CHEMBL1201572
drug.Drug_Protein;DB00005;P12314;['L04AB01'];27463856|19128982;target;unknown;ligand;CHEMBL1201572
drug.Drug_Protein;DB00005;P12318;['L04AB01'];15457442|15526004|27463856|19128982;target;unknown;ligand;CHEMBL1201572
drug.Drug_Protein;DB00005;P31994;['L04AB01'];27463856|19128982;target;unknown;ligand;CHEMBL1201572
drug.Drug_Protein;DB00005;P31995;['L04AB01'];10800083|7535196|19128982;target;unknown;ligand;CHEMBL1201572
drug.Drug_Protein;DB00005;P08637;['L04AB01'];15457442|15526004|27463856|19128982;target;unknown;ligand;CHEMBL1201572
drug.Drug_Protein;DB00005;O75015;['L04AB01'];10800083|17387033|15457442|15526004|19128982;target;unknown;ligand;CHEMBL1201572
drug.Drug_Protein;DB00005;P01374;['L04AB01'];11302411|15005015|15033655;target;yes;antibody;CHEMBL1201572
drug.Drug_Protein;DB00006;P00734;['B01AE06'];11060732|11504570|11833835|11923794|11929334|11752352;target;yes;inhibitor;CHEMBL2103749
drug.Drug_Protein;DB00006;P05164;['B01AE06'];18701766;enzyme;unknown;inhibitor;CHEMBL2103749
drug.Drug_Protein;DB00007;P30968;['L02AE51', 'L02AE02'];16809153|10687850|9625809|15758569|10394541;target;yes;agonist;CHEMBL1201199
drug.Drug_Protein;DB00008;P48551;['L03AB11', 'L03AB61'];15898717|16953837|19955815|11752352;target;yes;agonist;CHEMBL1201560
drug.Drug_Protein;DB00008;P17181;['L03AB11', 'L03AB61'];15898717|16953837|19955815|11752352;target;yes;agonist;CHEMBL1201560
drug.Drug_Protein;DB00008;P05177;['L03AB11', 'L03AB61'];11910269;enzyme;unknown;inhibitor;CHEMBL1201560
drug.Drug_Protein;DB00009;P00747;['B01AD02', 'S01XA13'];18673235|19436656|17963464|11752352;target;yes;activator;CHEMBL1201593
drug.Drug_Protein;DB00009;P02671;['B01AD02', 'S01XA13'];18673235|19436656|17963464;target;yes;;CHEMBL1201593
drug.Drug_Protein;DB00009;Q03405;['B01AD02', 'S01XA13'];;target;unknown;;CHEMBL1201593
drug.Drug_Protein;DB00009;P05121;['B01AD02', 'S01XA13'];17963464;target;unknown;;CHEMBL1201593
drug.Drug_Protein;DB00010;Q02643;['V04CD03', 'H01AC04'];14499707|11752352;target;yes;agonist;None
drug.Drug_Protein;DB00011;P17181;['L03AB06'];17139284|17016423|10822464|19955815|11752352;target;yes;agonist;CHEMBL2108509
drug.Drug_Protein;DB00011;P48551;['L03AB06'];17139284|17016423|10822464|19955815|11752352;target;yes;agonist;CHEMBL2108509
drug.Drug_Protein;DB00011;P05177;['L03AB06'];9064483;enzyme;unknown;inhibitor;CHEMBL2108509
drug.Drug_Protein;DB00012;P19235;['B03XA02'];16505108|17575216|11752352;target;yes;agonist;CHEMBL1201566
drug.Drug_Protein;DB00013;P00747;['B01AD04'];12658774|12666133|12719778|12720300|12745435|11752352;target;yes;activator;CHEMBL1201420
drug.Drug_Protein;DB00013;Q03405;['B01AD04'];12615913|12817472|14679304|14688365|14720519|17327908;target;yes;inducer|modulator;CHEMBL1201420
drug.Drug_Protein;DB00013;P05121;['B01AD04'];12579271|12642587|12709915|12745435|12785198;target;yes;substrate|inducer;CHEMBL1201420
drug.Drug_Protein;DB00013;P05120;['B01AD04'];15277569|15351849|15640330|15944795|16327990;target;yes;substrate|inducer;CHEMBL1201420
drug.Drug_Protein;DB00013;P05154;['B01AD04'];17434507|17253188|14645112;target;unknown;substrate;CHEMBL1201420
drug.Drug_Protein;DB00013;P98164;['B01AD04'];17139284|17016423|8241286|1280065|7959795;target;unknown;substrate;CHEMBL1201420
drug.Drug_Protein;DB00013;Q9Y5Y6;['B01AD04'];14747469|12815039;target;unknown;substrate;CHEMBL1201420
drug.Drug_Protein;DB00013;P14543;['B01AD04'];17139284|17016423|1499567;target;unknown;ligand;CHEMBL1201420
drug.Drug_Protein;DB00013;P39900;['B01AD04'];12195704;enzyme;unknown;substrate;CHEMBL1201420
drug.Drug_Protein;DB00014;P22888;['L02AE03'];17139284|17016423|20053189;target;yes;agonist;CHEMBL1201247
drug.Drug_Protein;DB00014;P30968;['L02AE03'];20053189;target;yes;agonist;CHEMBL1201247
drug.Drug_Protein;DB00015;P00747;['B01AD07'];17963464|18673235|19436656|11752352;target;yes;activator;CHEMBL2107885
drug.Drug_Protein;DB00015;P02671;['B01AD07'];18673235|19436656|17963464;target;yes;;CHEMBL2107885
drug.Drug_Protein;DB00015;P05121;['B01AD07'];17963464;target;unknown;;CHEMBL2107885
drug.Drug_Protein;DB00016;P19235;['B03XA01'];16505108|17575216|11752352;target;yes;agonist;CHEMBL1201565
drug.Drug_Protein;DB00017;P30988;['H05BA01'];3004987|7610922|9231703|11752352;target;unknown;agonist;None
drug.Drug_Protein;DB00018;P17181;[];17139284|17016423|15898717|19955815|11752352;target;yes;agonist;CHEMBL2109047
drug.Drug_Protein;DB00018;P48551;[];17139284|17016423|15898717|19955815|16953837|11752352;target;yes;agonist;CHEMBL2109047
drug.Drug_Protein;DB00018;P05177;[];9064483;enzyme;unknown;inhibitor;CHEMBL2109047
drug.Drug_Protein;DB00019;Q99062;['L03AA13'];17001306|12944913|17127322|16033816|15949269|15082029;target;yes;agonist;CHEMBL1201568
drug.Drug_Protein;DB00019;P08246;['L03AA13'];14657210|16245075|12958067|15353486|17475913|26105553;enzyme;no;substrate;CHEMBL1201568
drug.Drug_Protein;DB00020;P15509;['L03AA09'];17090651|16760463|17522711|16638185|11752352;target;yes;agonist;CHEMBL1201670
drug.Drug_Protein;DB00020;P26951;['L03AA09'];17562355|17500228|16698686|17522711;target;yes;agonist;CHEMBL1201670
drug.Drug_Protein;DB00020;P32927;['L03AA09'];17139284|17016423|1424804;target;yes;agonist;CHEMBL1201670
drug.Drug_Protein;DB00020;P34741;['L03AA09'];17139284|17016423|10734053;target;unknown;agonist;CHEMBL1201670
drug.Drug_Protein;DB00020;P13727;['L03AA09'];17383764|16522458|17600316;target;unknown;;CHEMBL1201670
drug.Drug_Protein;DB00022;P17181;['L03AB10', 'L03AB60'];17139284|17016423|15898717|19955815|16953837|11752352;target;yes;agonist;CHEMBL1201561
drug.Drug_Protein;DB00022;P48551;['L03AB10', 'L03AB60'];17139284|17016423|15898717|19955815|16953837|11752352;target;yes;agonist;CHEMBL1201561
drug.Drug_Protein;DB00022;P05177;['L03AB10', 'L03AB60'];21161196;enzyme;unknown;inhibitor;CHEMBL1201561
drug.Drug_Protein;DB00022;P10635;['L03AB10', 'L03AB60'];;enzyme;unknown;inhibitor;CHEMBL1201561
drug.Drug_Protein;DB00022;P11712;['L03AB10', 'L03AB60'];22765278;enzyme;unknown;inducer;CHEMBL1201561
drug.Drug_Protein;DB00023;P05543;['L01XX02'];;carrier;no;inhibitor;CHEMBL2108989
drug.Drug_Protein;DB00024;P16473;['H01AB01'];15571461|9039330|11752352;target;yes;agonist;CHEMBL1201533
drug.Drug_Protein;DB00025;P00742;['B02BD02'];13801371|14285227|236567|6436416|11891806;target;yes;activator;CHEMBL2108175
drug.Drug_Protein;DB00025;P00740;['B02BD02'];1119107|2994716|14240634|932529|6422634;target;yes;cofactor;CHEMBL2108175
drug.Drug_Protein;DB00025;P04275;['B02BD02'];10938981|11858481|14750934|2128855|2942172;target;yes;binder;CHEMBL2108175
drug.Drug_Protein;DB00025;O14832;['B02BD02'];11574539;target;unknown;antagonist;CHEMBL2108175
drug.Drug_Protein;DB00025;P07307;['B02BD02'];15946216;target;unknown;binder;CHEMBL2108175
drug.Drug_Protein;DB00025;P11021;['B02BD02'];9607108;target;unknown;chaperone;CHEMBL2108175
drug.Drug_Protein;DB00025;P27797;['B02BD02'];9525969|17899080|9607108;target;unknown;chaperone;CHEMBL2108175
drug.Drug_Protein;DB00025;P27824;['B02BD02'];9525969|15213841|17899080|9607108;target;unknown;chaperone;CHEMBL2108175
drug.Drug_Protein;DB00025;P49257;['B02BD02'];14629470|14726380;target;unknown;chaperone;CHEMBL2108175
drug.Drug_Protein;DB00025;Q07954;['B02BD02'];21391865;target;unknown;modulator;CHEMBL2108175
drug.Drug_Protein;DB00025;Q8NI22;['B02BD02'];15886209;target;unknown;modulator;CHEMBL2108175
drug.Drug_Protein;DB00025;P00734;['B02BD02'];10688826|1139038|12463731|2402772|3099625;enzyme;unknown;activator;CHEMBL2108175
drug.Drug_Protein;DB00025;P04070;['B02BD02'];21054189;enzyme;unknown;substrate;CHEMBL2108175
