model;pk;GeneName;GeneID;EntryName;ProteinName
drug.Protein;P00734;F2;ENSG00000180210;P00734;"Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain]"
drug.Protein;P00533;EGFR;ENSG00000146648;P00533;Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1)
drug.Protein;O75015;FCGR3B;ENSG00000162747;O75015;Low affinity immunoglobulin gamma Fc region receptor III-B (Fc-gamma RIII-beta) (CD16-I) (Fc-gamma RIII) (Fc-gamma RIIIb) (FcRIII) (FcRIIIb) (FcR-10) (IgG Fc receptor III-1) (CD antigen CD16b)
drug.Protein;P02745;C1QA;ENSG00000173372;P02745;Complement C1q subcomponent subunit A
drug.Protein;P02746;C1QB;ENSG00000173369;P02746;Complement C1q subcomponent subunit B
drug.Protein;P02747;C1QC;ENSG00000159189;P02747;Complement C1q subcomponent subunit C
drug.Protein;P08637;FCGR3A;ENSG00000203747;P08637;Low affinity immunoglobulin gamma Fc region receptor III-A (IgG Fc receptor III-A) (CD16-II) (CD16a antigen) (Fc-gamma RIII-alpha) (Fc-gamma RIII) (Fc-gamma RIIIa) (FcRIII) (FcRIIIa) (FcgammaRIIIA) (FcR-10) (IgG Fc receptor III-2) (CD antigen CD16a)
drug.Protein;P12314;FCGR1A;ENSG00000150337;P12314;High affinity immunoglobulin gamma Fc receptor I (IgG Fc receptor I) (Fc-gamma RI) (FcRI) (Fc-gamma RIA) (FcgammaRIa) (CD antigen CD64)
drug.Protein;P12318;FCGR2A;ENSG00000143226;P12318;Low affinity immunoglobulin gamma Fc region receptor II-a (IgG Fc receptor II-a) (CDw32) (Fc-gamma RII-a) (Fc-gamma-RIIa) (FcRII-a) (CD antigen CD32)
drug.Protein;P01589;IL2RA;ENSG00000134460;P01589;Interleukin-2 receptor subunit alpha (IL-2 receptor subunit alpha) (IL-2-RA) (IL-2R subunit alpha) (IL2-RA) (TAC antigen) (p55) (CD antigen CD25)
drug.Protein;P14784;IL2RB;ENSG00000100385;P14784;Interleukin-2 receptor subunit beta (IL-2 receptor subunit beta) (IL-2R subunit beta) (IL-2RB) (High affinity IL-2 receptor subunit beta) (Interleukin-15 receptor subunit beta) (p70-75) (p75) (CD antigen CD122)
drug.Protein;P31785;IL2RG;ENSG00000147168;P31785;Cytokine receptor common subunit gamma (Interleukin-2 receptor subunit gamma) (IL-2 receptor subunit gamma) (IL-2R subunit gamma) (IL-2RG) (gammaC) (p64) (CD antigen CD132)
drug.Protein;P01375;TNF;ENSG00000232810;P01375;"Tumor necrosis factor (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) (TNF-a) [Cleaved into: Tumor necrosis factor, membrane form (N-terminal fragment) (NTF); Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]"
drug.Protein;P31994;FCGR2B;ENSG00000072694;P31994;Low affinity immunoglobulin gamma Fc region receptor II-b (IgG Fc receptor II-b) (CDw32) (Fc-gamma RII-b) (Fc-gamma-RIIb) (FcRII-b) (CD antigen CD32)
drug.Protein;P31995;FCGR2C;ENSG00000244682;P31995;Low affinity immunoglobulin gamma Fc region receptor II-c (IgG Fc receptor II-c) (CDw32) (Fc-gamma RII-c) (Fc-gamma-RIIc) (FcRII-c) (CD antigen CD32)
drug.Protein;P01374;LTA;ENSG00000226979;P01374;Lymphotoxin-alpha (LT-alpha) (TNF-beta) (Tumor necrosis factor ligand superfamily member 1)
