,model,gene_id,locus,alleles,markerID,annotation,n_cases,n_controls,heritability,trait_type,phenocode,pheno_sex,coding,n_cases_defined,n_cases_both_sexes,n_cases_females,n_cases_males,description,description_more,coding_description,category,AC,AF,BETA,SE,AF.Cases,AF.Controls,Pvalue,AC_calstat,AF_calstat
0,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,224079,170704.0,0.0,2,120,1,1,265167,272416,161384,103783,Birth weight known,Birth weight known   This question was dropped from the touchscreen protocol on 24/10/2016.,Yes - pounds and ounces,64.0,5,6.3328e-06,-2.4793,0.98313,0.0,1.4645e-05,0.011676,5.0,6.331919204710948e-06
1,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,8657,380287.0,0.014753,2,1777,1,,10936,11231,6041,4895,Part of a multiple birth,"ACE touchscreen question ""Are you a twin, triplet or other multiple birth?""  ~F1777~ was collected from all participants except those who indicated they were adopted as a child, as defined by their answers to ~F1767~   This question was dropped from the touchscreen protocol on 24/10/2016.",,38.0,5,6.4279e-06,-1.0245,2.9985,0.0,6.574e-06,0.7326,5.0,6.331919204710948e-06
2,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,233,394550.0,0.0,2,20001,1,1001,287,303,116,171,"Cancer code, self-reported","Code for cancer. If the participant was uncertain of the type of cancer they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the cancer could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",lung cancer,37.0,5,6.3328e-06,-1.001,17.027,0.0,6.3363e-06,0.95312,5.0,6.331919204710948e-06
3,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,102580,292203.0,0.040151,2,20002,1,1065,127295,130986,60592,66703,"Non-cancer illness code, self-reported","Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".   Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses.",hypertension,37.0,5,6.3328e-06,-0.31937,0.91215,4.8742e-06,6.8446e-06,0.72625,5.0,6.331919204710948e-06
4,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,163,394620.0,0.12347,2,20003,1,1140851088,203,213,152,51,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,senokot 7.5mg tablet,87.0,5,6.3328e-06,-0.9984,24.889,0.0,6.3352e-06,0.968,5.0,6.331919204710948e-06
5,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,788,393995.0,0.0,2,20004,1,1069,970,1007,430,540,Operation code,"Code for operation. If the participant was uncertain of the type of operation they had undergone, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the operation could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",heart surgery,35.0,5,6.3328e-06,-1.0027,9.3423,0.0,6.3453e-06,0.91453,5.0,6.331919204710948e-06
6,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,213273,179971.0,0.01518,2,20116,1,0,265917,273537,156990,108927,Smoking status,This field summarises the current/past smoking status of the participant.,Never,123.0,5,6.3576e-06,0.36465,0.84395,7.0332e-06,5.5565e-06,0.66569,5.0,6.331919204710948e-06
7,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,12289,382000.0,0.020983,2,20117,1,0,21570,22388,15381,6189,Alcohol drinker status,,Never,26.0,5,6.3408e-06,-1.0366,2.6963,0.0,6.5445e-06,0.70065,5.0,6.331919204710948e-06
8,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,68647,26490.0,0.012732,2,20126,1,0,86855,89527,43081,43774,Bipolar and major depression status,"Bipolar and major depression status.   This derived data field has come from Professor Jill Pell from the Institute of Health &amp; Wellbeing, University of Glasgow. Methods on how these fields were derived can be found in the Additional Resources tab.",No Bipolar or Depression,47.0,1,5.2557e-06,1.2072,2.6297,7.2836e-06,0.0,0.64618,5.0,6.331919204710948e-06
9,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,7518,119350.0,0.017741,2,20401,1,,9181,9384,4439,4742,Ever addicted to any substance or behaviour,"Question asked: ""Have you been addicted to or dependent on one or more things, including substances (not cigarettes/coffee) or behaviours (such as gambling)?""",,119.0,2,7.8824e-06,-1.0515,3.3715,0.0,8.3787e-06,0.75513,5.0,6.331919204710948e-06
